state,parlimen,ballot_order,name,party,votes,result,result_desc
Johor,P.140 Segamat,1,KHAIRUL FAIZI BIN AHMAD KAMIL,PARTI ISLAM SE MALAYSIA (PAS),2676,0,lost_deposit
Johor,P.140 Segamat,2,DR. S. SUBRAMANIAM,BARISAN NASIONAL (BN),18584,0,lost
Johor,P.140 Segamat,3,DATO' SERI DR. SANTHARA,PARTI KEADILAN RAKYAT (PKR),24060,1,won
Johor,P.141 Sekijang,1,DATUK AYUB BIN RAHMAT,BARISAN NASIONAL (BN),18278,0,lost
Johor,P.141 Sekijang,2,NATRAH ISMAIL,PARTI KEADILAN RAKYAT (PKR),19559,1,won
Johor,P.142 Labis,1,PANG HOK LIONG,PARTI KEADILAN RAKYAT (PKR),16977,1,won
Johor,P.142 Labis,2,DATUK SARCHU SAWAL,PARTI ISLAM SE MALAYSIA (PAS),2034,0,lost_deposit
Johor,P.142 Labis,3,CHUA TEE YONG ,BARISAN NASIONAL (BN),13567,0,lost
Johor,P.143 Pagoh,1,ISMAIL BIN MOHAMED,BARISAN NASIONAL (BN),16631,0,lost
Johor,P.143 Pagoh,2,TAN SRI MUHYIDDIN YASSIN,PARTI KEADILAN RAKYAT (PKR),23558,1,won
Johor,P.143 Pagoh,3,AHMAD NAWFAL BIN MAHFODZ,PARTI ISLAM SE MALAYSIA (PAS),2483,0,lost_deposit
Johor,P.144 Ledang,1,RUSMAN BIN KEMIN,PARTI ISLAM SE MALAYSIA (PAS),4668,0,lost_deposit
Johor,P.144 Ledang,2,DATUK IR. DR. HJ. HAMIM SAMURI,BARISAN NASIONAL (BN),26040,0,lost
Johor,P.144 Ledang,3,SYED IBRAHIM BIN SYED NOH,PARTI KEADILAN RAKYAT (PKR),34706,1,won
Johor,P.145 Bakri,1,KOH CHON CHAI,BARISAN NASIONAL (BN),15507,0,lost
Johor,P.145 Bakri,2,YEO BEE YIN ,PARTI KEADILAN RAKYAT (PKR),38718,1,won
Johor,P.145 Bakri,3,ZARUL BIN SALLEH,PARTI ISLAM SE MALAYSIA (PAS),7575,0,lost_deposit
Johor,P.146 Muar,1,CIKGU HAJI ABDUL AZIZ BIN TALIB,PARTI ISLAM SE MALAYSIA (PAS),4354,0,lost_deposit
Johor,P.146 Muar,2,SYED SADDIQ,PARTI KEADILAN RAKYAT (PKR),22341,1,won
Johor,P.146 Muar,3,DATUK SERI RAZALI BIN IBRAHIM,BARISAN NASIONAL (BN),15388,0,lost
Johor,P.147 Parit Sulong,1,DATO' DR. NORAINI AHMAD,BARISAN NASIONAL (BN),24481,1,won
Johor,P.147 Parit Sulong,2,ANIS AFIDA ,PARTI KEADILAN RAKYAT (PKR),18140,0,lost
Johor,P.147 Parit Sulong,3,AHMAD ROSDI BIN BAHARI,PARTI ISLAM SE MALAYSIA (PAS),7148,0,lost
Johor,P.148 Ayer Hitam,1,HJ MARDI MARWAN,PARTI ISLAM SE MALAYSIA (PAS),4975,0,lost
Johor,P.148 Ayer Hitam,2,WEE KA SIONG,BARISAN NASIONAL (BN),17076,1,won
Johor,P.148 Ayer Hitam,3,LIEW CHIN TONG,PARTI KEADILAN RAKYAT (PKR),16773,0,lost
Johor,P.149 Sri Gading,1,DATUK DR SHAHRUDDIN SALLEH,PARTI KEADILAN RAKYAT (PKR),21511,1,won
Johor,P.149 Sri Gading,2,LT KOL HJ M ASHARI SIDON,PARTI ISLAM SE MALAYSIA (PAS),4548,0,lost_deposit
Johor,P.149 Sri Gading,3,DATUK AZIZ KAPRAWI,BARISAN NASIONAL (BN),18223,0,lost
Johor,P.150 Batu Pahat,1,DATO' DR MAHFODZ BIN MOHAMED,PARTI ISLAM SE MALAYSIA (PAS),8173,0,lost_deposit
Johor,P.150 Batu Pahat,2,MOHD RASHID,PARTI KEADILAN RAKYAT (PKR),45929,1,won
Johor,P.150 Batu Pahat,3,HALIZA BINTI ABDULLAH,BARISAN NASIONAL (BN),28035,0,lost
Johor,P.151 Simpang Renggam,1,HJ JUBRI,PARTI ISLAM SE MALAYSIA (PAS),2983,0,lost_deposit
Johor,P.151 Simpang Renggam,2,DR.MASZLEE MALIK,PARTI KEADILAN RAKYAT (PKR),18157,1,won
Johor,P.151 Simpang Renggam,3,LIANG TECK MENG,BARISAN NASIONAL (BN),14682,0,lost
Johor,P.152 Kluang,1,HASBULLAH NAJIB,PARTI ISLAM SE MALAYSIA (PAS),8242,0,lost_deposit
Johor,P.152 Kluang,2,WONG SHU QI,PARTI KEADILAN RAKYAT (PKR),47671,1,won
Johor,P.152 Kluang,3,GAN PING SIEU ,BARISAN NASIONAL (BN),24618,0,lost
Johor,P.153 Sembrong,1,DATO' SERI HISHAMMUDDIN TUN HUSSEIN,BARISAN NASIONAL (BN),21353,1,won
Johor,P.153 Sembrong,2,ONN BIN ABU BAKAR,PARTI KEADILAN RAKYAT (PKR),14691,0,lost
Johor,P.154 Mersing,1,IR MD NASIR BIN HASHIM,PARTI KEADILAN RAKYAT (PKR),11347,0,lost
Johor,P.154 Mersing,2,A. RAHMAN BIN A. HAMID,PARTI ISLAM SE MALAYSIA (PAS),6215,0,lost
Johor,P.154 Mersing,3,DR ABD LATIFF,BARISAN NASIONAL (BN),19806,1,won
Johor,P.155 Tenggara,1,NORJEPRI BIN MOHAMED JELANI,PARTI KEADILAN RAKYAT (PKR),14209,0,lost
Johor,P.155 Tenggara,2,CIKGU YUHA,PARTI ISLAM SE MALAYSIA (PAS),2683,0,lost_deposit
Johor,P.155 Tenggara,3,DATUK SERI DR. ADHAM BIN BABA,BARISAN NASIONAL (BN),20142,1,won
Johor,P.156 Kota Tinggi,1,HJH AZLINDA LATIF,PARTI KEADILAN RAKYAT (PKR),11786,0,lost
Johor,P.156 Kota Tinggi,2,DATUK HALIMAH BINTI MOHAMED SADIQUE,BARISAN NASIONAL (BN),26407,1,won
Johor,P.157 Pengerang,1,NORLIZA NGADIRAN,PARTI KEADILAN RAKYAT (PKR),10412,0,lost
Johor,P.157 Pengerang,2,AZALINA OTHMAN SAID,BARISAN NASIONAL (BN),21829,1,won
Johor,P.158 Tebrau,1,STEVEN CHOONG ,PARTI KEADILAN RAKYAT (PKR),64535,1,won
Johor,P.158 Tebrau,2,HOU KOK CHUNG,BARISAN NASIONAL (BN),27310,0,lost
Johor,P.158 Tebrau,3,USTAZ ABDULLAH HUSIN,PARTI ISLAM SE MALAYSIA (PAS),12098,0,lost_deposit
Johor,P.159 Pasir Gudang,1,AB.AZIZ BIN ABDULLAH,PARTI ISLAM SE MALAYSIA (PAS),6278,0,lost_deposit
Johor,P.159 Pasir Gudang,2,MOHAMED KHALED NORDIN,BARISAN NASIONAL (BN),36889,0,lost
Johor,P.159 Pasir Gudang,3,CHEE JOCK,BEBAS (BEBAS),227,0,lost_deposit
Johor,P.159 Pasir Gudang,4,HASSAN BIN ABDUL KARIM,PARTI KEADILAN RAKYAT (PKR),61615,1,won
Johor,P.160 Johor Bahru,1,TAN SRI SHAHRIR ABDUL SAMAD,BARISAN NASIONAL (BN),30270,0,lost
Johor,P.160 Johor Bahru,2,AKMAL NASIR ,PARTI KEADILAN RAKYAT (PKR),50052,1,won
Johor,P.161 Pulai,1,YAP KENG TAK,BEBAS (BEBAS),591,0,lost_deposit
Johor,P.161 Pulai,2,SALAHUDDIN AYUB,PARTI KEADILAN RAKYAT (PKR),55447,1,won
Johor,P.161 Pulai,3,DATUK NUR JAZLAN BIN MOHAMED,BARISAN NASIONAL (BN),26523,0,lost
Johor,P.161 Pulai,4,DR. MOHD MAZRI BIN YAHYA,PARTI ISLAM SE MALAYSIA (PAS),4332,0,lost_deposit
Johor,P.162 Iskandar Puteri,1,JASON TEOH SEW HOCK,BARISAN NASIONAL (BN),35862,0,lost
Johor,P.162 Iskandar Puteri,2,LIM KIT SIANG,PARTI KEADILAN RAKYAT (PKR),80726,1,won
Johor,P.163 Kulai,1,TANG NAI SOON,BARISAN NASIONAL (BN),22564,0,lost
Johor,P.163 Kulai,2,USTAZ JUWAHIR BIN AMIN,PARTI ISLAM SE MALAYSIA (PAS),6667,0,lost_deposit
Johor,P.163 Kulai,3,TEO NIE CHING,PARTI KEADILAN RAKYAT (PKR),55312,1,won
Johor,P.164 Pontian,1,HAJI KARMAINE BIN SARDINI,PARTI KEADILAN RAKYAT (PKR),20299,0,lost
Johor,P.164 Pontian,2,DATUK SERI HAJI AHMAD HAJI MASLAN,BARISAN NASIONAL (BN),21132,1,won
Johor,P.164 Pontian,3,DR BAHAROM MOHAMAD,PARTI ISLAM SE MALAYSIA (PAS),4295,0,lost_deposit
Johor,P.165 Tanjung Piai,1,NORDIN BIN OTHMAN,PARTI ISLAM SE MALAYSIA (PAS),2962,0,lost_deposit
Johor,P.165 Tanjung Piai,2,WEE JECK SENG,BARISAN NASIONAL (BN),20731,0,lost
Johor,P.165 Tanjung Piai,3,MD FARID,PARTI KEADILAN RAKYAT (PKR),21255,1,won
W.P. Labuan,P.166 Labuan,1,ROZMAN BIN ISLI,BARISAN NASIONAL (BN),10164,1,won
W.P. Labuan,P.166 Labuan,2,SITI ZALEHA S.W.IBRAHIM,PARTI HARAPAN RAKYAT SABAH (HR),925,0,lost_deposit
W.P. Labuan,P.166 Labuan,3,USTAZ JUNID,PARTI ISLAM SE MALAYSIA (PAS),1555,0,lost_deposit
W.P. Labuan,P.166 Labuan,4,NOOR HALIM BIN ZAINI,PARTI WARISAN SABAH (WARISAN),8714,0,lost
Sabah,P.167 Kudat,1,SHARIFF AZMAN SH ALONG,PARTI WARISAN SABAH (WARISAN),17144,0,lost
Sabah,P.167 Kudat,2,MOHD ASHRAF CHIN ABDULLAH,PARTI PERPADUAN RAKYAT SABAH (PPRS),1432,0,lost_deposit
Sabah,P.167 Kudat,3,DATUK ABDUL RAHIM BAKRI,BARISAN NASIONAL (BN),18503,1,won
Sabah,P.168 Kota Marudu,1,DR. PAUL PORODONG,PARTI CINTA SABAH (PCS),2501,0,lost_deposit
Sabah,P.168 Kota Marudu,2,DATUK MAIJOL MAHAP,PARTI HARAPAN RAKYAT SABAH (HR),11259,0,lost
Sabah,P.168 Kota Marudu,3,BARLUS BIN MANGABIS,PARTI WARISAN SABAH (WARISAN),7113,0,lost
Sabah,P.168 Kota Marudu,4,DATUK SERI PANGLIMA DR. MAXIMUS JOHNITY ONGKILI,BARISAN NASIONAL (BN),13033,1,won
Sabah,P.169 Kota Belud,1,HJ. AG LAIMAN BIN HJ. IKIN,PARTI ISLAM SE MALAYSIA (PAS),1410,0,lost_deposit
Sabah,P.169 Kota Belud,2,SALLEH SAID KERUAK,BARISAN NASIONAL (BN),19167,0,lost
Sabah,P.169 Kota Belud,3,MIASIN@AIMADUDDIN BIN MION,PARTI HARAPAN RAKYAT SABAH (HR),2092,0,lost_deposit
Sabah,P.169 Kota Belud,4,MUNIRAH MAJILIS,PARTI WARISAN SABAH (WARISAN),23429,1,won
Sabah,P.170 Tuaran,1,DATUK SERI PANGLIMA WILFRED MADIUS TANGAU,BARISAN NASIONAL (BN),22494,1,won
Sabah,P.170 Tuaran,2,CHRISNADIA SINAM,PARTI KEADILAN RAKYAT (PKR),14870,0,lost
Sabah,P.170 Tuaran,3,SYRA PETER @ P GOM,PARTI HARAPAN RAKYAT SABAH (HR),2311,0,lost_deposit
Sabah,P.170 Tuaran,4,KALAKAU @ KALAKAN BIN UNTOL @ ENTOL,PARTI CINTA SABAH (PCS),2611,0,lost_deposit
Sabah,P.170 Tuaran,5,PAUMIN @ MOHD AMINUDDIN BIN ALING,PARTI ISLAM SE MALAYSIA (PAS),1357,0,lost_deposit
Sabah,P.171 Sepanggar,1,JEFFREY KUMIN,PARTI MAJU SABAH (SAPP),2958,0,lost_deposit
Sabah,P.171 Sepanggar,2,ROBERT SOPINING,PARTI CINTA SABAH (PCS),971,0,lost_deposit
Sabah,P.171 Sepanggar,3,ABD RAHMAN BIN DAHLAN,BARISAN NASIONAL (BN),15436,0,lost
Sabah,P.171 Sepanggar,4,MOHD AZIS BIN JAMMAN,PARTI WARISAN SABAH (WARISAN),28420,1,won
Sabah,P.172 Kota Kinabalu,1,DR. JOSEPH LEE HAN KYUN,BARISAN NASIONAL (BN),7546,0,lost
Sabah,P.172 Kota Kinabalu,2,YONG TECK LEE,PARTI MAJU SABAH (SAPP),3132,0,lost_deposit
Sabah,P.172 Kota Kinabalu,3,CHAN FOONG HIN,PARTI TINDAKAN DEMOKRATIK (DAP),31632,1,won
Sabah,P.173 Putatan,1,EDMUND JIVOL DOUDILIM,PARTI HARAPAN RAKYAT SABAH (HR),1755,0,lost_deposit
Sabah,P.173 Putatan,2,ZULZAIM HILMEE ABIDIN,PARTI ISLAM SE MALAYSIA (PAS),2434,0,lost_deposit
Sabah,P.173 Putatan,3,AWANG HUSAINI BIN DATUK SAHARI ,PARTI KEADILAN RAKYAT (PKR),14106,1,won
Sabah,P.173 Putatan,4,MIL KUSIN ABDILLAH SULAI ,PARTI KERJASAMA ANAK NEGERI (ANAKNEGERI),728,0,lost_deposit
Sabah,P.173 Putatan,5,DATUK DR. MARCUS MAKIN MOJIGOH,BARISAN NASIONAL (BN),11767,0,lost
Sabah,P.174 Penampang,1,DARELL LEIKING,PARTI WARISAN SABAH (WARISAN),32470,1,won
Sabah,P.174 Penampang,2,CLEFTUS STEPHEN SPINE,PARTI SOLIDARITI TANAH AIRKU (SOLIDARITI),1196,0,lost_deposit
Sabah,P.174 Penampang,3,CEASAR MANDELA MALAKUN,BARISAN NASIONAL (BN),8997,0,lost
Sabah,P.174 Penampang,4,DR. EDWIN @ JACK BOSI,PARTI KERJASAMA ANAK NEGERI (ANAKNEGERI),445,0,lost_deposit
Sabah,P.175 Papar,1,ELBERT BIN SIKUIL,PARTI CINTA SABAH (PCS),481,0,lost_deposit
Sabah,P.175 Papar,2,ROSNAH HJ ABD RASHID SHIRLIN,BARISAN NASIONAL (BN),17069,0,lost
Sabah,P.175 Papar,3,JAMIL BIN WILLIAM CORE,PARTI SOLIDARITI TANAH AIRKU (SOLIDARITI),892,0,lost_deposit
Sabah,P.175 Papar,4,AHMAD BIN HASSAN,PARTI WARISAN SABAH (WARISAN),17394,1,won
Sabah,P.176 Kimanis,1,ANIFAH AMAN ,BARISAN NASIONAL (BN),11942,1,won
Sabah,P.176 Kimanis,2,KARIM BIN BUJANG,PARTI WARISAN SABAH (WARISAN),11786,0,lost
Sabah,P.176 Kimanis,3,JAAFAR BIN ISMAIL ,PARTI HARAPAN RAKYAT SABAH (HR),1300,0,lost_deposit
Sabah,P.177 Beaufort,1,DATUK AZIZAH BINTI MOHD DUN,BARISAN NASIONAL (BN),11354,1,won
Sabah,P.177 Beaufort,2,DATUK JOHN OT GHANI,PARTI KEADILAN RAKYAT (PKR),7835,0,lost
Sabah,P.177 Beaufort,3,LAJIM BIN UKIN (DATUK SERI PANGLIMA),PARTI HARAPAN RAKYAT SABAH (HR),8023,0,lost
Sabah,P.178 Sipitang,1,HAFEZ MUSA,BARISAN NASIONAL (BN),12038,1,won
Sabah,P.178 Sipitang,2,NOOR HAYATY BINTI MUSTAPHA,PARTI WARISAN SABAH (WARISAN),11186,0,lost
Sabah,P.178 Sipitang,3,DAYANG AEZZY BINTI LIMAN,PARTI HARAPAN RAKYAT SABAH (HR),1547,0,lost_deposit
Sabah,P.179 Ranau,1,DATUK DR. EWON EBIN,BARISAN NASIONAL (BN),13804,0,lost
Sabah,P.179 Ranau,2,ANDAU BIN YASUN @ BRUNO,PARTI CINTA SABAH (PCS),1110,0,lost_deposit
Sabah,P.179 Ranau,3,JONATHAN BIN YASIN,PARTI KEADILAN RAKYAT (PKR),14880,1,won
Sabah,P.179 Ranau,4,SOUDI @ SAMI BIN ANDANG,PARTI SOLIDARITI TANAH AIRKU (SOLIDARITI),3148,0,lost_deposit
Sabah,P.180 Keningau,1,JIUS BIN AWANG,PARTI CINTA SABAH (PCS),433,0,lost_deposit
Sabah,P.180 Keningau,2,MAIMIN @ JEFFRUS RIJAN,BEBAS (BEBAS),248,0,lost_deposit
Sabah,P.180 Keningau,3,DATUK DANIEL KINSIK,BARISAN NASIONAL (BN),12742,0,lost
Sabah,P.180 Keningau,4,DATUK DR. JEFFREY KITINGAN,PARTI SOLIDARITI TANAH AIRKU (SOLIDARITI),13286,1,won
Sabah,P.180 Keningau,5,DATUK JUSTIN GUKA,BEBAS (BEBAS),199,0,lost_deposit
Sabah,P.180 Keningau,6,JAKE NOINTIN,PARTI WARISAN SABAH (WARISAN),13241,0,lost
Sabah,P.181 Tenom,1,RUBIN BIN BALANG,BARISAN NASIONAL (BN),10230,0,lost
Sabah,P.181 Tenom,2,NOORITA SUAL,PARTI TINDAKAN DEMOKRATIK (DAP),11363,1,won
Sabah,P.181 Tenom,3,LAIMOI @ YUSLINAH BINTI LAIKIM,PARTI HARAPAN RAKYAT SABAH (HR),645,0,lost_deposit
Sabah,P.182 Pensiangan,1,RICHARD JOE JIMMY,PARTI SOLIDARITI TANAH AIRKU (SOLIDARITI),2839,0,lost_deposit
Sabah,P.182 Pensiangan,2,RAYMOND BIN AHUAR,PARTI KEADILAN RAKYAT (PKR),9469,0,lost
Sabah,P.182 Pensiangan,3,MAIDIN BIN ATAK @ MAIDIN HAJI OSMAN,PARTI CINTA SABAH (PCS),212,0,lost_deposit
Sabah,P.182 Pensiangan,4,ARTHUR JOSEPH KURUP,BARISAN NASIONAL (BN),11783,1,won
Sabah,P.182 Pensiangan,5,ENGAH BIN SINTAN,BEBAS (BEBAS),65,0,lost_deposit
Sabah,P.183 Beluran,1,DATUK RONALD KIANDEE,BARISAN NASIONAL (BN),13007,1,won
Sabah,P.183 Beluran,2,SALIMAH BINTI OYONG,BEBAS (BEBAS),246,0,lost_deposit
Sabah,P.183 Beluran,3,TOIDY LUIT,PARTI CINTA SABAH (PCS),284,0,lost_deposit
Sabah,P.183 Beluran,4,SIPIN BIN KADANDI,PARTI HARAPAN RAKYAT SABAH (HR),996,0,lost_deposit
Sabah,P.183 Beluran,5,DR. JAPAR BIN ZAIRUN,PARTI WARISAN SABAH (WARISAN),5892,0,lost
Sabah,P.183 Beluran,6,LEM MATIN @ SALIM BIN MATIN,PARTI PERPADUAN RAKYAT SABAH (PPRS),273,0,lost_deposit
Sabah,P.184 Libaran,1,ZAKARIA BIN MOHD. EDRIS @ TUBAU,BARISAN NASIONAL (BN),17799,1,won
Sabah,P.184 Libaran,2,ALFIAN BIN MANSYUR,PARTI HARAPAN RAKYAT SABAH (HR),1223,0,lost_deposit
Sabah,P.184 Libaran,3,IRWANSHAH BIN MUSTAPA,PARTI WARISAN SABAH (WARISAN),17121,0,lost
Sabah,P.185 Batu Sapi,1,LINDA TSEN THAU LIN,BARISAN NASIONAL (BN),8357,0,lost
Sabah,P.185 Batu Sapi,2,LIEW VUI KEONG,PARTI WARISAN SABAH (WARISAN),12976,1,won
Sabah,P.185 Batu Sapi,3,HAMZAH ABDULLAH,PARTI AMANAH NEGARA (AMANAH),980,0,lost_deposit
Sabah,P.185 Batu Sapi,4,NORSAH BONGSU,PARTI ISLAM SE MALAYSIA (PAS),948,0,lost_deposit
Sabah,P.186 Sandakan,1,LIM MING HOO,BARISAN NASIONAL (BN),8996,0,lost
Sabah,P.186 Sandakan,2,STEPHEN WONG TIEN FATT,PARTI TINDAKAN DEMOKRATIK (DAP),19094,1,won
Sabah,P.187 Kinabatangan,1,MUSTAPA BIN DATU TAMBUYONG,PARTI HARAPAN RAKYAT SABAH (HR),2066,0,lost_deposit
Sabah,P.187 Kinabatangan,2,GHAZALI ABDUL GHANI,PARTI WARISAN SABAH (WARISAN),4987,0,lost
Sabah,P.187 Kinabatangan,3,BUNG MOKTAR RADIN,BARISAN NASIONAL (BN),14465,1,won
Sabah,P.188 Lahad Datu,1,DATU NASRUN BIN DATU MANSUR,BARISAN NASIONAL (BN),16951,0,lost
Sabah,P.188 Lahad Datu,2,MOHAMADDIN BIN KETAPI,PARTI WARISAN SABAH (WARISAN),23352,1,won
Sabah,P.188 Lahad Datu,3,RAMLI BIN PATARUDDIN  ,PARTI ISLAM SE MALAYSIA (PAS),1431,0,lost_deposit
Sabah,P.188 Lahad Datu,4,SITI SHAZIANTI BINTI AJAK,PARTI HARAPAN RAKYAT SABAH (HR),1306,0,lost_deposit
Sabah,P.189 Semporna,1,ABDUL NASIR BIN AB RAUP,PARTI ISLAM SE MALAYSIA (PAS),384,0,lost_deposit
Sabah,P.189 Semporna,2,ASMARA BIN ASMAD,PARTI HARAPAN RAKYAT SABAH (HR),98,0,lost_deposit
Sabah,P.189 Semporna,3,HAJI RAMLEE MARAHABAN,BARISAN NASIONAL (BN),6135,0,lost
Sabah,P.189 Semporna,4,MOHD. SHAFIE APDAL,PARTI WARISAN SABAH (WARISAN),26809,1,won
Sabah,P.190 Tawau,1,MARY YAP KAIN CHING,BARISAN NASIONAL (BN),16673,0,lost
Sabah,P.190 Tawau,2,ALIZAMAN BIN JIJURAHMAN,PARTI HARAPAN RAKYAT SABAH (HR),2162,0,lost_deposit
Sabah,P.190 Tawau,3,MOHAMAD BIN HUSAIN,PARTI ISLAM SE MALAYSIA (PAS),2518,0,lost_deposit
Sabah,P.190 Tawau,4,CHRISTINA LIEW,PARTI KEADILAN RAKYAT (PKR),21400,1,won
Sabah,P.191 Kalabakan,1,MA'MUN BIN SULAIMAN,PARTI WARISAN SABAH (WARISAN),18486,1,won
Sabah,P.191 Kalabakan,2,ABDUL GHAPUR SALLEH,BARISAN NASIONAL (BN),15299,0,lost
Sabah,P.191 Kalabakan,3,NORBIN BIN ALOH,PARTI ISLAM SE MALAYSIA (PAS),2813,0,lost_deposit
Sabah,P.191 Kalabakan,4,AHMAD BIN LAHAMA,PARTI PERPADUAN RAKYAT SABAH (PPRS),311,0,lost_deposit
Sarawak,P.192 Mas Gading,1,MORDI BIMOL,PARTI TINDAKAN DEMOKRATIK (DAP),12771,1,won
Sarawak,P.192 Mas Gading,2,NOGEH ANAK GUMBEK,BARISAN NASIONAL (BN),9747,0,lost
Sarawak,P.193 Santubong,1,FIDZUAN ZAIDI,PARTI KEADILAN RAKYAT (PKR),6894,0,lost
Sarawak,P.193 Santubong,2,WAN JUNAIDI BIN TUANKU JAAFAR,BARISAN NASIONAL (BN),26379,1,won
Sarawak,P.194 Petra Jaya,1,FADILLAH HJ YUSOF,BARISAN NASIONAL (BN),28306,1,won
Sarawak,P.194 Petra Jaya,2,DATUK IR. DR NOR IRWAN BIN HJ. AHMAT NOR,PARTI KEADILAN RAKYAT (PKR),13289,0,lost
Sarawak,P.194 Petra Jaya,3,HAMDAN SANI,PARTI ISLAM SE MALAYSIA (PAS),1350,0,lost_deposit
Sarawak,P.195 Bandar Kuching,1,KHO TECK WAN,BARISAN NASIONAL (BN),12575,0,lost
Sarawak,P.195 Bandar Kuching,2,KELVIN YII LEE WUEN,PARTI TINDAKAN DEMOKRATIK (DAP),48548,1,won
Sarawak,P.196 Stampin,1,DR. SIM KUI HIAN,BARISAN NASIONAL (BN),18839,0,lost
Sarawak,P.196 Stampin,2,CHONG CHIENG JEN,PARTI TINDAKAN DEMOKRATIK (DAP),33060,1,won
Sarawak,P.197 Kota Samarahan,1,RUBIAH WANG,BARISAN NASIONAL (BN),25070,1,won
Sarawak,P.197 Kota Samarahan,2,SOPIAN BIN JULAIHI,PARTI KEADILAN RAKYAT (PKR),8078,0,lost
Sarawak,P.197 Kota Samarahan,3,ZULKIPLI RAMZI,PARTI ISLAM SE MALAYSIA (PAS),2719,0,lost_deposit
Sarawak,P.198 Puncak Borneo,1,BULN RIBOS,PARTI REFORMASI NEGERI SARAWAK (STAR),795,0,lost_deposit
Sarawak,P.198 Puncak Borneo,2,JEANNOTH SINEL,BARISAN NASIONAL (BN),14860,0,lost
Sarawak,P.198 Puncak Borneo,3,WILLIE MONGIN,PARTI KEADILAN RAKYAT (PKR),18865,1,won
Sarawak,P.199 Serian,1,EDWARD ANDREW LUWAK,PARTI TINDAKAN DEMOKRATIK (DAP),7640,0,lost
Sarawak,P.199 Serian,2,DATO SRI RICHARD RIOT ANAK JAEM,BARISAN NASIONAL (BN),17545,1,won
Sarawak,P.199 Serian,3,SENIOR ANAK WILLIAM RADE,BEBAS (BEBAS),2234,0,lost_deposit
Sarawak,P.200 Batang Sadong,1,DATO' SRI NANCY SHUKRI,BARISAN NASIONAL (BN),14208,1,won
Sarawak,P.200 Batang Sadong,2,USTAZ. OTHMAN BIN MUSTAPHA @ MOS,PARTI KEADILAN RAKYAT (PKR),1880,0,lost_deposit
Sarawak,P.200 Batang Sadong,3,CIKGU ASAN SINGKRO,PARTI ISLAM SE MALAYSIA (PAS),978,0,lost_deposit
Sarawak,P.201 Batang Lupar,1,ROHANI KARIM,BARISAN NASIONAL (BN),14204,1,won
Sarawak,P.201 Batang Lupar,2,USTAZ WAN ABDILLAH ,PARTI ISLAM SE MALAYSIA (PAS),3927,0,lost
Sarawak,P.201 Batang Lupar,3,NARUDIN BIN MENTALI,PARTI KEADILAN RAKYAT (PKR),2020,0,lost_deposit
Sarawak,P.202 Sri Aman,1,MASIR KUJAT,BARISAN NASIONAL (BN),14141,1,won
Sarawak,P.202 Sri Aman,2,COBBOLD ANAK LUSOI,PARTI BANSA DAYAK SARAWAK BARU (PBDSB),538,0,lost_deposit
Sarawak,P.202 Sri Aman,3,NORINA UMOI ANAK UTOT,PARTI KEADILAN RAKYAT (PKR),8321,0,lost
Sarawak,P.203 Lubok Antu,1,JUGAH AK MUYANG,BEBAS (BEBAS),5834,1,won
Sarawak,P.203 Lubok Antu,2,NICHOLAS BAWIN ANGGAT,PARTI KEADILAN RAKYAT (PKR),3942,0,lost
Sarawak,P.203 Lubok Antu,3,ROBERT PASANG ALAM,BARISAN NASIONAL (BN),4775,0,lost
Sarawak,P.204 Betong,1,ABANG AHMAD BIN ABANG SUNI,BEBAS (BEBAS),4401,0,lost
Sarawak,P.204 Betong,2,NOEL CHANGGAI BUCKING,PARTI KEADILAN RAKYAT (PKR),3802,0,lost
Sarawak,P.204 Betong,3,ROBERT LAWSON CHUAT,BARISAN NASIONAL (BN),12517,1,won
Sarawak,P.205 Saratok,1,SUBENG ANAK MULA,BARISAN NASIONAL (BN),10859,0,lost
Sarawak,P.205 Saratok,2,ALI BIJU ,PARTI KEADILAN RAKYAT (PKR),11848,1,won
Sarawak,P.206 Tanjong Manis,1,YUSUF BIN ABD WAHAB,BARISAN NASIONAL (BN),11402,1,won
Sarawak,P.206 Tanjong Manis,2,FADILLAH SABALI,PARTI KEADILAN RAKYAT (PKR),2728,0,lost
Sarawak,P.207 Igan,1,HUD ANDRI,PARTI KEADILAN RAKYAT (PKR),2043,0,lost
Sarawak,P.207 Igan,2,AHMAD JOHNIE BIN ZAWAWI,BARISAN NASIONAL (BN),10538,1,won
Sarawak,P.208 Sarikei,1,WONG LING BIU,PARTI TINDAKAN DEMOKRATIK (DAP),16327,1,won
Sarawak,P.208 Sarikei,2,WONG CHIN KING,PARTI BUMI KENYALANG (PBK),392,0,lost_deposit
Sarawak,P.208 Sarikei,3,HUANG TIONG SII,BARISAN NASIONAL (BN),13757,0,lost
Sarawak,P.209 Julau,1,LARRY SOON @ LARRY SNG WEI SHIEN,BEBAS (BEBAS),10105,1,won
Sarawak,P.209 Julau,2,JOSEPH SALANG ANAK GANDUM,BARISAN NASIONAL (BN),8174,0,lost
Sarawak,P.210 Kanowit,1,SATU ANAK ANCHOM,PARTI KEADILAN RAKYAT (PKR),5240,0,lost
Sarawak,P.210 Kanowit,2,AGO ANAK DAGANG,BARISAN NASIONAL (BN),9552,1,won
Sarawak,P.211 Lanang,1,ALICE LAU KIONG YIENG,PARTI TINDAKAN DEMOKRATIK (DAP),29905,1,won
