state,parlimen,ballot_order,name,age,sex,ethnicity,party,votes,result,result_desc
Kelantan,P.032 Gua Musang,2,TENGKU RAZALEIGH HAMZAH,70,male,bumiputera,BARISAN NASIONAL (BN),14063,1,won
Terengganu,P.033 Besut,1,ABDULLAH BIN MD ZIN,61,male,bumiputera,BARISAN NASIONAL (BN),29376,1,won
Terengganu,P.033 Besut,2,HUSAIN BIN AWANG,61,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),18786,0,lost
Terengganu,P.034 Setiu,1,MOHD PAUZI BIN MUDA,50,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),19378,0,lost
Terengganu,P.034 Setiu,2,MOHD JIDIN BIN SHAFEE,52,male,bumiputera,BARISAN NASIONAL (BN),26610,1,won
Terengganu,P.035 Kuala Nerus,1,SHUKRIMUN BIN SHAMSUDIN,48,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),25098,0,lost
Terengganu,P.035 Kuala Nerus,2,MOHD NASIR B. TAN IBRAHIM FIKRI,51,male,bumiputera,BARISAN NASIONAL (BN),26439,1,won
Terengganu,P.036 Kuala Terengganu,1,MOHAMAD SABU,53,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),31934,0,lost
Terengganu,P.036 Kuala Terengganu,2,MAIMUN BINTI YUSUF,88,female,bumiputera,BEBAS (BEBAS),685,0,lost_deposit
Terengganu,P.036 Kuala Terengganu,3,RAZALI BIN ISMAIL,58,male,bumiputera,BARISAN NASIONAL (BN),32562,1,won
Terengganu,P.037 Marang,1,AHMAD RAMZI BIN MOHAMAD ZUBIR,35,male,bumiputera,BARISAN NASIONAL (BN),30688,0,lost
Terengganu,P.037 Marang,2,ABDUL HADI BIN AWANG,60,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),33435,1,won
Terengganu,P.038 Hulu Terengganu,1,KAMARUZAMAN BIN ABDULLAH,31,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),17324,0,lost
Terengganu,P.038 Hulu Terengganu,2,MOHD NOR BIN OTHMAN,55,male,bumiputera,BARISAN NASIONAL (BN),27784,1,won
