state,parlimen,code_state,code_parlimen,year,area_km2,population_total,nationality_citizen,nationality_non_citizen,sex_male,sex_female,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other,age_proportion_0_14,age_proportion_15_64,age_proportion_65_above,age_proportion_18_above,housing_total,household_total,household_size_avg,live_births,live_births_male,live_births_female,deaths,deaths_male,deaths_female,labour_participation_rate,labour_unemployment_rate,income_median,income_avg,expenditure_avg,gini,poverty_incidence,sme_small,sme_micro,sme_medium,businesses_agriculture,businesses_crops,businesses_livestock,businesses_fisheries,businesses_forestry,businesses_mining,businesses_manufacturing,businesses_construction,businesses_services,utilities_pipedwater_home,utilities_pipedwater_public,utilities_pipedwater_other,utilities_electricity_home,utilities_electricity_none
Johor,P.161 Pulai,1,P.161,2020,73,291876,273983,17893,151870,140006,47.32300909,40.66201188,11.51932784,0.49565119,26.6,68.9,4.5,69.1,104883,77387,3.6,4212,2230,1982,1534,925,609,72.8,3.7,8286,9559,5827,0.334,1.1,54,830,3369,369,252,54,48,15,40,1011,1763,14557,100,0,0,100,0
Johor,P.162 Iskandar Puteri,1,P.162,2020,294,447697,417166,30531,235812,211885,47.65249325,39.54109395,12.39530547,0.411107329,27.7,68.5,3.8,67.1,171063,114386,3.7,6370,3309,3061,2314,1373,941,73.3,3.8,7815,10110,6275,0.392,2.4,70,1531,6078,117,72,21,18,6,27,1079,1104,9825,100,0,0,100,0
Johor,P.163 Kulai,1,P.163,2020,737,287404,241054,46350,157468,129936,53.68423673,35.3066118,10.42919844,0.57995304,20.5,74.6,5,74.6,74762,66447,3.7,3900,1992,1908,1413,827,586,66.6,3.7,6834,8185,4802,0.331,4.2,39,373,1272,174,127,19,12,16,22,957,654,5916,100,0,0,100,0
Johor,P.164 Pontian,1,P.164,2020,444,81778,77470,4308,42822,38956,77.6971731,21.32051117,0.61830386,0.364011876,23.6,65.8,10.6,71.1,22388,20323,4,1191,627,564,434,260,174,66.3,4.3,5692,6636,3836,0.335,4.9,82,1452,4848,103,64,35,2,2,2,155,261,2021,100,0,0,100,0
Johor,P.165 Tanjung Piai,1,P.165,2020,486,91540,82513,9027,50425,41115,66.7494819,31.62047193,1.076194054,0.55385212,22.9,69.1,8.1,72.8,24304,22196,3.9,1320,660,660,476,273,203,66.5,3.9,5118,6904,3751,0.369,6.6,23,208,1007,79,24,22,31,2,1,268,151,1530,100,0,0,100,0
Sabah,P.167 Kudat,12,P.167,2020,2300,92554,83634,8920,47330,45224,94.12439917,5.410478992,0.06217567,0.40294617,28.6,63.3,8.1,64.7,23015,20235,4.5,1331,710,621,399,240,159,72.1,9.1,2346,3797,2505,0.439,47,22,289,1462,11,4,0,5,2,3,22,119,1521,76.9,2,21.1,98.1,1.9
Sabah,P.168 Kota Marudu,12,P.168,2020,2282,99998,96192,3806,51228,48770,97.59647372,1.974176647,0.048860612,0.380489022,29.6,61.7,8.7,64.1,26062,22789,4.4,1423,758,665,424,256,168,72.7,8.6,2424,3739,2376,0.431,44.2,28,401,2062,19,15,1,1,2,0,26,136,1575,80.4,0.2,19.4,99.8,0.2
Sabah,P.169 Kota Belud,12,P.169,2020,1372,107243,103170,4073,53945,53298,97.80847145,1.748570321,0.075603373,0.367354851,26.3,63.3,10.3,66.6,21393,20823,5.1,1555,840,715,464,284,180,62.8,9.7,3025,4377,2371,0.412,34.1,10,268,1487,8,6,0,1,1,0,32,261,2091,71.6,2,26.4,99.7,0.3
Sabah,P.170 Tuaran,12,P.170,2020,1126,134976,127406,7570,68540,66436,96.79763904,2.36017142,0.12479789,0.717391646,25.9,67.1,7,67.7,34024,29136,4.6,1919,1030,889,571,346,225,65.1,5.9,3747,5089,2932,0.383,16.3,22,202,1152,20,9,5,6,0,2,49,193,2088,80.5,0.3,19.2,100,0
Sabah,P.171 Sepanggar,12,P.171,2020,317,336253,280746,55507,171500,164753,85.6421819,12.81763587,0.434556503,1.105625726,25.6,70.1,4.3,69.4,76661,76273,4.4,4935,2613,2322,1464,875,589,72.9,6.3,5447,7076,3123,0.386,9.8,390,3571,11300,184,97,21,35,31,43,536,1187,8618,90.3,1.9,7.8,99.9,0.1
Sabah,P.172 Kota Kinabalu,12,P.172,2020,26,114202,95460,18742,59181,55021,62.2176828,36.41734758,0.669390321,0.6955793,19,71.6,9.4,76.7,25976,27100,4.2,1616,834,782,479,281,198,73.1,6.5,7220,8846,4290,0.352,1.6,335,2988,7899,354,184,26,42,102,80,294,1158,12832,97.1,2.9,0,100,0
Sabah,P.173 Putatan,12,P.173,2020,58,115203,98121,17082,59085,56118,91.46360106,6.840533627,0.40562163,1.290243679,25.9,68.3,5.8,68.7,27162,25431,4.5,1665,883,782,496,298,198,73,7.5,5008,6819,3172,0.379,11.7,163,2054,6581,17,8,3,2,4,9,87,167,2958,98.6,1.4,0,100,0
Sabah,P.174 Penampang,12,P.174,2020,492,178499,158591,19908,94857,83642,74.74762124,23.69995775,0.380853895,1.171567113,21.3,71.9,6.8,73.6,47840,44590,3.8,2540,1321,1219,755,446,309,67.2,8.7,5535,6643,3230,0.324,4.2,364,4257,12597,76,46,4,13,13,14,167,493,4146,97.1,0.5,2.4,100,0
Sabah,P.175 Papar,12,P.175,2020,610,106765,98452,8313,56184,50581,94.37187665,4.718035185,0.122902531,0.787185634,22.9,71,6.1,70.4,26178,22398,4.6,1596,834,762,475,281,194,66.6,7.2,4665,5843,2899,0.352,12.1,213,2642,9046,10,4,5,1,0,3,48,103,1490,98,0,2,100,0
Sabah,P.176 Kimanis,12,P.176,2020,949,50408,45850,4558,25986,24422,97.91057797,1.58778626,0.056706652,0.444929117,21.3,71.1,7.5,72.4,10517,10419,4.8,723,377,346,216,128,88,66.8,8.1,4050,5359,2578,0.391,18.4,212,1663,5521,12,10,2,0,0,2,29,124,778,92.2,1.9,5.9,100,0
Sabah,P.177 Beaufort,12,P.177,2020,871,52107,48502,3605,26390,25717,94.44765164,4.486412931,0.171126964,0.894808462,24,66.8,9.2,69.1,13325,11159,4.7,747,401,346,223,135,88,66.2,6.3,3260,4444,2547,0.368,28,23,437,2030,7,5,0,2,0,1,37,138,1645,86.2,8.9,4.9,99.6,0.4
Sabah,P.178 Sipitang,12,P.178,2020,3715,66583,60458,6125,34389,32194,95.42492309,3.921730788,0.124053062,0.529293063,25.9,65.7,8.4,67.9,15839,14682,4.5,943,497,446,281,168,113,66,6.4,3944,5148,2391,0.341,10.4,44,446,1515,17,5,0,0,12,0,36,122,1238,96.3,1.5,2.2,100,0
Sabah,P.179 Ranau,12,P.179,2020,3891,86084,79745,6339,44659,41425,98.64192112,0.949275817,0.045143896,0.363659164,23.9,69.9,6.2,69.1,18134,16765,5.1,1425,748,677,424,253,171,75.5,8.8,3519,4669,2648,0.393,26.8,54,829,2144,13,11,1,0,1,2,17,216,1761,36.3,2.5,61.2,100,0
Sabah,P.180 Keningau,12,P.180,2020,2231,129882,117554,12328,66395,63487,93.13847253,5.813498477,0.113990166,0.934038825,27.8,66.1,6.1,66.4,32215,30366,4.3,1879,1004,875,561,339,222,61.9,6.3,4150,5550,2884,0.38,14.7,11,234,1407,101,50,6,0,45,6,119,270,2888,77.6,3.9,18.5,100,0
Sabah,P.181 Tenom,12,P.181,2020,2457,50230,48026,2204,25806,24424,96.0438096,3.454378878,0.047890726,0.453920793,25.6,67.2,7.3,66.8,12238,10672,4.7,738,391,347,220,132,88,61.5,6.1,3525,4734,2606,0.347,17.2,11,228,1493,6,4,1,1,0,1,41,112,718,54.3,0.9,44.8,100,0
Sabah,P.182 Pensiangan,12,P.182,2020,8897,82499,73991,8508,43476,39023,98.60658729,1.019042857,0.031084862,0.343284994,26.7,68.1,5.2,66,18757,17066,4.8,1286,672,614,384,227,157,68.8,8,3636,4359,2415,0.302,31.1,5,150,2214,23,18,2,0,3,0,16,71,525,52.4,12.4,35.2,100,0
Sabah,P.183 Beluran,12,P.183,2020,7448,101066,59032,42034,54712,46354,97.57080905,0.628472693,0.215137553,1.585580702,28.5,68.6,2.9,67,30227,26214,3.8,1441,730,711,426,246,180,72.9,8.2,2848,4169,1848,0.407,43.3,12,231,2073,37,36,0,0,1,0,21,120,908,46.6,5.8,47.7,96.8,3.2
Sabah,P.184 Libaran,12,P.184,2020,930,171452,122828,48624,87215,84237,86.72778194,11.02435927,0.210049826,2.037808969,27.8,66.9,5.3,65,36450,33319,5.1,2407,1290,1117,720,436,284,74.4,8,4704,5616,2885,0.363,20.2,318,2312,7605,243,207,11,5,20,2,105,154,2210,95,0,5,99.8,0.2
Sabah,P.185 Batu Sapi,12,P.185,2020,454,119698,85136,34562,62508,57190,75.89151475,22.08583913,0.274854351,1.747791768,23.5,70.5,5.9,69.7,21873,21273,5.5,1750,910,840,520,307,213,74.3,7.7,5017,6426,3571,0.387,13.7,231,2134,12033,212,161,5,14,32,4,90,163,2341,100,0,0,100,0
Sabah,P.186 Sandakan,12,P.186,2020,23,121672,82111,39561,62345,59327,73.11687837,25.00517592,0.397023541,1.480922166,24.4,69,6.6,68.8,22999,22587,5.3,1724,918,806,514,310,204,74.4,8.1,5191,6963,3759,0.416,16.8,48,492,2543,281,233,5,21,22,10,151,174,3618,99.1,0.5,0.5,100,0
Sabah,P.187 Kinabatangan,12,P.187,2020,18068,216087,79593,136494,118889,97198,95.02343171,0.66337492,0.143228676,4.169964695,29.8,68.1,2.1,65,50371,48388,4.5,3067,1516,1551,905,511,394,68.3,9.7,2973,4310,1916,0.408,41.7,88,974,3753,57,56,0,0,1,0,26,36,869,56.9,0,43.1,96.2,3.8
Sabah,P.188 Lahad Datu,12,P.188,2020,8594,299550,180519,119031,159843,139707,90.0996571,5.93954099,0.26202228,3.69877963,28.5,68.1,3.4,66.3,63360,61478,4.8,4167,2128,2039,1234,718,516,71.4,9.7,4075,5644,2763,0.373,19.9,7,172,1448,492,421,5,49,17,11,182,316,4873,78.1,0.1,21.8,99.9,0.1
Sabah,P.189 Semporna,12,P.189,2020,1126,166587,102740,63847,85401,81186,98.00856531,0.980144053,0.076893128,0.934397508,34,61.7,4.2,58.8,31553,29042,5.7,2350,1249,1101,700,421,279,62.5,10.1,3542,5933,2599,0.474,31.5,3,83,840,25,17,0,8,0,0,25,136,1373,90.3,0.7,9,99.7,0.3
Sabah,P.190 Tawau,12,P.190,2020,1332,230531,155447,75084,120678,109853,77.93202828,17.2084376,0.239953167,4.61958095,27.8,67.4,4.8,66.5,47607,45694,5,3306,1717,1589,982,579,403,75.1,7,4494,6202,2554,0.388,13.5,9,148,1648,598,462,23,58,55,12,234,481,5507,98.9,0.1,1,100,0
Sabah,P.191 Kalabakan,12,P.191,2020,4551,188656,125038,63618,99264,89392,88.84499112,8.365456901,0.207936787,2.581615189,26.9,68,5.1,67.6,43247,40302,4.6,2677,1375,1302,792,463,329,68.1,10,4265,6222,2941,0.385,14.8,7,139,1248,135,110,2,7,16,3,78,194,2550,98,0.5,1.4,99.7,0.3
Sarawak,P.192 Mas Gading,13,P.192,2020,1481,51434,48849,2585,27193,24241,85.19519335,14.36672194,0.155581486,0.282503224,21,69.9,9.1,73.5,15913,11991,4.3,766,389,377,304,174,130,66.7,3.3,3843,4857,2940,0.342,9.5,10,187,1786,39,25,8,5,1,5,27,27,880,75.5,0,24.5,100,0
Sarawak,P.193 Santubong,13,P.193,2020,1501,117751,115123,2628,59689,58062,90.91406583,8.861826047,0.075571345,0.148536782,24.6,69.6,5.8,69.9,33334,26883,4.4,1715,912,803,684,406,278,64.7,4.5,4801,5784,3378,0.345,11.7,30,529,2758,55,28,10,11,6,13,300,258,2735,90.8,0.4,8.7,99.8,0.2
Sarawak,P.194 Petra Jaya,13,P.194,2020,126,150813,149617,1196,75216,75597,86.91124672,12.50526344,0.377630884,0.20585896,22.9,70.6,6.6,71.4,42218,34133,4.4,2201,1184,1017,880,528,352,64.8,4.5,6336,7665,4260,0.363,6.1,6,112,744,116,67,18,17,14,49,301,758,6173,98.5,0.4,1.1,100,0
Sarawak,P.195 Bandar Kuching,13,P.195,2020,35,116280,113020,3260,58483,57797,34.5876836,64.52663245,0.523801097,0.361882853,19,69,12.1,77,35812,30221,3.9,1680,897,783,671,400,271,64.6,4.7,5473,7712,4457,0.418,4.3,4,75,551,263,157,16,38,52,121,696,1752,14188,99,1,0,100,0
Sarawak,P.196 Stampin,13,P.196,2020,194,212217,208809,3408,107718,104499,41.68354812,57.42137552,0.61539493,0.279681431,20.6,70.9,8.4,74.1,66734,50187,4.2,3088,1635,1453,1232,730,502,67.1,4.8,6089,7765,4465,0.364,3,8,113,935,123,69,25,8,21,43,342,971,6774,98.2,1.4,0.5,100,0
Sarawak,P.197 Kota Samarahan,13,P.197,2020,745,158521,157010,1511,77491,81030,85.31176358,14.04114388,0.451563595,0.195528947,22.9,72.1,4.9,72.1,49252,43953,3.8,2241,1217,1024,897,543,354,64.6,4.7,5281,6406,3723,0.343,7.7,98,619,1918,55,28,18,5,4,6,105,156,2401,97,2.5,0.5,99.9,0.1
Sarawak,P.198 Puncak Borneo,13,P.198,2020,1328,80780,79770,1010,42097,38683,81.74627053,17.93155322,0.164222139,0.157954118,22.6,68.7,8.8,71.9,26067,18499,4.3,1199,615,584,477,275,202,64.6,5,3780,4920,2960,0.348,11,82,552,2107,48,13,32,1,2,1,51,54,1655,87.1,1.8,11.1,99.4,0.6
Sarawak,P.199 Serian,13,P.199,2020,1463,61744,60623,1121,31570,30174,93.00595484,6.763109711,0.143509889,0.087425565,21.3,68.8,10,72.5,18892,14711,4.2,887,464,423,353,207,146,64.5,4.9,3274,4558,2643,0.387,20.8,102,800,3241,52,31,17,1,3,0,55,97,1290,66.3,2.7,31,99.6,0.4
Sarawak,P.200 Batang Sadong,13,P.200,2020,1031,33694,31438,2256,17644,16050,95.97620714,3.661174375,0.022266047,0.34035244,23.2,67.3,9.5,71,9661,8308,4.1,488,251,237,192,111,81,70.1,4.4,2935,4089,2324,0.377,18.4,22,116,819,13,11,1,1,0,0,13,50,550,74.3,5.1,20.5,98.7,1.3
Sarawak,P.201 Batang Lupar,13,P.201,2020,1990,38339,37567,772,19659,18680,97.70809487,1.983123486,0.002661911,0.306119733,26.8,63.6,9.6,67.8,10843,8829,4.4,568,298,270,226,133,93,69.9,4.1,2579,3316,2324,0.325,28.4,151,1224,4280,16,14,0,1,1,2,15,53,381,80.8,2.7,16.6,99.6,0.4
Sarawak,P.202 Sri Aman,13,P.202,2020,2678,62863,60892,1971,32804,30059,87.90153058,11.7716613,0.042698548,0.284109571,20.7,67.7,11.7,74.8,19636,14436,4.3,953,489,464,378,218,160,70.1,4.5,3383,4496,2823,0.367,9.3,9,243,1292,19,14,1,1,3,0,34,133,893,69.9,1.8,28.4,99.8,0.2
Sarawak,P.203 Lubok Antu,13,P.203,2020,3294,26780,26076,704,13632,13148,94.48918546,5.338242062,0.03834944,0.13422304,18.8,67.5,13.6,76.3,8985,7071,3.8,401,212,189,159,94,65,68.2,4,2820,3809,2785,0.361,8.8,161,1543,4985,6,2,1,1,2,1,5,43,285,72.7,0,27.3,100,0
