state,parlimen,ballot_order,name,age,sex,ethnicity,party,votes,result,result_desc
Perlis,P.001 Padang Besar,1,ZAHIDI BIN ZAINUL ABIDIN,52,male,bumiputera,BARISAN NASIONAL (BN),21473,1,won
Perlis,P.001 Padang Besar,2,AZAMHARI,44,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),14047,0,lost
Perlis,P.002 Kangar,1,BAHARUDDIN AHMAD,56,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),19306,0,lost
Perlis,P.002 Kangar,2,SHAHARUDDIN BIN ISMAIL,46,male,bumiputera,BARISAN NASIONAL (BN),23343,1,won
Perlis,P.003 Arau,1,SHAHIDAN BIN KASSIM,61,male,bumiputera,BARISAN NASIONAL (BN),19376,1,won
Perlis,P.003 Arau,2,HARON DIN,72,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),18005,0,lost
Perlis,P.003 Arau,3,ZAINUDIN BIN YOM,49,male,bumiputera,BEBAS (BEBAS),406,0,lost_deposit
Kedah,P.004 Langkawi,1,NAWAWI BIN AHMAD,52,male,bumiputera,BARISAN NASIONAL (BN),21407,1,won
Kedah,P.004 Langkawi,2,AHMAD BIN ABDULLAH,63,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),9546,0,lost
Kedah,P.004 Langkawi,3,MARINA HUSSEIN,35,female,bumiputera,BEBAS (BEBAS),180,0,lost_deposit
Kedah,P.005 Jerlun,1,ISMAIL BIN SALLEH,49,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),20891,0,lost
Kedah,P.005 Jerlun,2,OTHMAN BIN AZIZ,54,male,bumiputera,BARISAN NASIONAL (BN),24161,1,won
Kedah,P.006 Kubang Pasu,1,JAMAL NASIR,44,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),22890,0,lost
Kedah,P.006 Kubang Pasu,2,MOHD JOHARI BIN BAHARUM,59,male,bumiputera,BARISAN NASIONAL (BN),33334,1,won
Kedah,P.007 Padang Terap,1,NASIR BIN ZAKARIA,37,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),16212,0,lost
Kedah,P.007 Padang Terap,2,MUHAMAD BAZLI,50,male,bumiputera,BEBAS (BEBAS),243,0,lost_deposit
Kedah,P.007 Padang Terap,3,MAHDZIR KHALID,52,male,bumiputera,BARISAN NASIONAL (BN),20654,1,won
Kedah,P.008 Pokok Sena,1,MAHFUZ OMAR,55,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),36198,1,won
Kedah,P.008 Pokok Sena,2,SHAHLAN BIN ISMAIL,55,male,bumiputera,BARISAN NASIONAL (BN),32263,0,lost
Kedah,P.009 Alor Setar,1,CHOR CHEE HEUNG,58,male,chinese,BARISAN NASIONAL (BN),25491,0,lost
Kedah,P.009 Alor Setar,2,GOOI HSIAO LEUNG,40,male,chinese,PARTI KEADILAN RAKYAT (PKR),27364,1,won
Kedah,P.009 Alor Setar,3,ABDUL FISOL BIN MOHD ISA,54,male,bumiputera,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),3530,0,lost_deposit
Kedah,P.009 Alor Setar,4,JAWAHAR RAJA BIN HJ ABDUL WAHID,50,male,bumiputera,PARTI BERSATU SASA MALAYSIA (BERSAMA),257,0,lost_deposit
Kedah,P.010 Kuala Kedah,1,AZMAN ISMAIL,52,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),42870,1,won
Kedah,P.010 Kuala Kedah,2,ZAKI ZAMANI BIN ABDUL RASHID,35,male,bumiputera,BARISAN NASIONAL (BN),37923,0,lost
Kedah,P.011 Pendang,1,OTHMAN BIN ABDUL,62,male,bumiputera,BARISAN NASIONAL (BN),32165,1,won
Kedah,P.011 Pendang,2,MOHAMAD SABU,58,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),29527,0,lost
Kedah,P.012 Jerai,1,JAMIL KHIR BIN BAHAROM,51,male,bumiputera,BARISAN NASIONAL (BN),32429,1,won
Kedah,P.012 Jerai,2,MOHD FIRDAUS BIN JAAFAR,39,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),31233,0,lost
Kedah,P.013 Sik,1,MANSOR BIN ABDUL RAHMAN,52,male,bumiputera,BARISAN NASIONAL (BN),22084,1,won
Kedah,P.013 Sik,2,CHE UDA BIN CHE NIK,64,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),19277,0,lost
Kedah,P.014 Merbok,1,ISMAIL BIN DAUT,57,male,bumiputera,BARISAN NASIONAL (BN),38538,1,won
Kedah,P.014 Merbok,2,NURIN AINA,37,female,bumiputera,PARTI KEADILAN RAKYAT (PKR),34416,0,lost
Kedah,P.015 Sungai Petani,1,SYAMSUL ANUAR ISMAIL,37,male,bumiputera,BARISAN NASIONAL (BN),34646,0,lost
Kedah,P.015 Sungai Petani,2,ONG WEI SIN,46,male,chinese,BEBAS (BEBAS),772,0,lost_deposit
Kedah,P.015 Sungai Petani,3,SUHAIMI BIN HASHIM,50,male,bumiputera,KESAINSAF TANAH AIR (KITA),200,0,lost_deposit
Kedah,P.015 Sungai Petani,4,JOHARI ABDUL,57,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),44194,1,won
Kedah,P.016 Baling,1,NAJMI HJ AHMAD,62,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),38319,0,lost
Kedah,P.016 Baling,2,AZEEZ RAHIM,46,male,bumiputera,BARISAN NASIONAL (BN),43504,1,won
Kedah,P.017 Padang Serai,1,HAMIDI BIN ABU HASSAN,42,male,bumiputera,BARISAN JEMAAH ISLAMIAH SE MALAYSIA (BERJASA),2630,0,lost_deposit
Kedah,P.017 Padang Serai,2,OTHMAN BIN WAWI,59,male,bumiputera,BEBAS (BEBAS),279,0,lost_deposit
Kedah,P.017 Padang Serai,3,GOBALAKRISHNAN A/L NAGAPAN,53,male,indian,BEBAS (BEBAS),390,0,lost_deposit
Kedah,P.017 Padang Serai,4,N SURENDRAN,46,male,indian,PARTI KEADILAN RAKYAT (PKR),34151,1,won
Kedah,P.017 Padang Serai,5,HENG SEAI KIE,50,female,chinese,BARISAN NASIONAL (BN),25714,0,lost
Kedah,P.018 Kulim-Bandar Baharu,1,SAIFUDDIN NASUTION ISMAIL,49,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),24911,0,lost
Kedah,P.018 Kulim-Bandar Baharu,2,ABDUL AZIZ SHEIKH FADZIR,50,male,bumiputera,BARISAN NASIONAL (BN),26782,1,won
Kelantan,P.019 Tumpat,1,KAMARUDIN JAFFAR,61,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),46191,1,won
Kelantan,P.019 Tumpat,2,MANSOR,64,male,bumiputera,BARISAN NASIONAL (BN),35487,0,lost
Kelantan,P.020 Pengkalan Chepa,1,IZANI BIN HUSIN,50,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),34617,1,won
Kelantan,P.020 Pengkalan Chepa,2,DALI BIN HUSIN,46,male,bumiputera,BARISAN NASIONAL (BN),19497,0,lost
Kelantan,P.021 Kota Bharu,1,MOHAMAD FATMI BIN CHE SALLEH,56,male,bumiputera,BARISAN NASIONAL (BN),24650,0,lost
Kelantan,P.021 Kota Bharu,2,TAKIYUDDIN,51,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),40620,1,won
Kelantan,P.021 Kota Bharu,3,MOHD ZAKIMAN BIN ABU BAKAR,37,male,bumiputera,BEBAS (BEBAS),148,0,lost_deposit
Kelantan,P.022 Pasir Mas,1,IBRAHIM BIN ALI,62,male,bumiputera,BEBAS (BEBAS),25384,0,lost
Kelantan,P.022 Pasir Mas,2,NIK ABDUH,43,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),33431,1,won
Kelantan,P.023 Rantau Panjang,1,CIK GU LI,66,male,bumiputera,BARISAN NASIONAL (BN),17405,0,lost
Kelantan,P.023 Rantau Panjang,2,KAK LAH,49,female,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),23767,1,won
Kelantan,P.024 Kubang Kerian,1,BAIHAKI,39,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),35510,1,won
Kelantan,P.024 Kubang Kerian,2,ANUAR SAFIAN,41,male,bumiputera,BARISAN NASIONAL (BN),18769,0,lost
Kelantan,P.025 Bachok,1,MARZUK SHAARY,37,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),35419,1,won
Kelantan,P.025 Bachok,2,AWANG,58,male,bumiputera,BARISAN NASIONAL (BN),35218,0,lost
Kelantan,P.026 Ketereh,1,ANNUAR MUSA,56,male,bumiputera,BARISAN NASIONAL (BN),26912,1,won
Kelantan,P.026 Ketereh,2,ABDUL AZIZ,50,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),25938,0,lost
Kelantan,P.027 Tanah Merah,1,NIK MAHMOOD,67,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),22278,0,lost
Kelantan,P.027 Tanah Merah,2,FIZAL HARUN,37,male,bumiputera,BEBAS (BEBAS),213,0,lost_deposit
Kelantan,P.027 Tanah Merah,3,IKMAL HISHAM BIN ABDUL AZIZ,48,male,bumiputera,BARISAN NASIONAL (BN),26505,1,won
Kelantan,P.028 Pasir Puteh,1,MUSTAFFA,49,male,bumiputera,BARISAN NASIONAL (BN),31691,0,lost
Kelantan,P.028 Pasir Puteh,2,NIK MAZIAN,54,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),33579,1,won
Kelantan,P.029 Machang,1,JAZLAN,48,male,bumiputera,BARISAN NASIONAL (BN),25660,1,won
Kelantan,P.029 Machang,2,WAN ZAWAWI,51,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),24855,0,lost
Kelantan,P.030 Jeli,1,MUSTAPA BIN MOHAMED,62,male,bumiputera,BARISAN NASIONAL (BN),21345,1,won
Kelantan,P.030 Jeli,2,PENDI,52,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),16009,0,lost
Kelantan,P.031 Kuala Krai,1,AZIZ MAT,43,male,bumiputera,BARISAN NASIONAL (BN),25876,0,lost
Kelantan,P.031 Kuala Krai,2,HATTA RAMLI,56,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),27919,1,won
Kelantan,P.032 Gua Musang,1,TENGKU RAZALEIGH HAMZAH,76,male,bumiputera,BARISAN NASIONAL (BN),21367,1,won
Kelantan,P.032 Gua Musang,2,WAN RAHIM,61,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),12954,0,lost
Terengganu,P.033 Besut,1,IDRIS JUSOH,57,male,bumiputera,BARISAN NASIONAL (BN),35232,1,won
Terengganu,P.033 Besut,2,RIDUAN MOHAMAD NOR,41,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),26890,0,lost
Terengganu,P.034 Setiu,1,CHE MOHAMAD ZULKIFLY BIN JUSOH,53,male,bumiputera,BARISAN NASIONAL (BN),33198,1,won
Terengganu,P.034 Setiu,2,OMAR SIDEK,57,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),25255,0,lost
Terengganu,P.035 Kuala Nerus,1,MOHD NASIR B. TAN IBRAHIM FIKRI,56,male,bumiputera,BARISAN NASIONAL (BN),33251,0,lost
Terengganu,P.035 Kuala Nerus,2,KHAIRUDDIN TAKIRI,39,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),33861,1,won
Terengganu,P.036 Kuala Terengganu,1,MOHD ZUBIR BIN EMBONG,48,male,bumiputera,BARISAN NASIONAL (BN),35043,0,lost
Terengganu,P.036 Kuala Terengganu,2,RAJA BAHRIN,58,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),45828,1,won
Terengganu,P.036 Kuala Terengganu,3,MAIMUN BINTI YUSUF,93,female,bumiputera,BEBAS (BEBAS),182,0,lost_deposit
Terengganu,P.037 Marang,1,YAHYA BIN KHATIB MOHAMAD,55,male,bumiputera,BARISAN NASIONAL (BN),37860,0,lost
Terengganu,P.037 Marang,2,ABDUL HADI BIN AWANG,65,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),42984,1,won
Terengganu,P.038 Hulu Terengganu,1,KAMARUZAMAN BIN ABDULLAH,36,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),23727,0,lost
Terengganu,P.038 Hulu Terengganu,2,JAILANI JOHARI,47,male,bumiputera,BARISAN NASIONAL (BN),31940,1,won
Terengganu,P.039 Dungun,1,ROSLI MAT HASSAN,57,male,bumiputera,BARISAN NASIONAL (BN),31406,0,lost
Terengganu,P.039 Dungun,2,WAN HASSAN MOHD RAMLI,55,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),35348,1,won
Terengganu,P.039 Dungun,3,MAZLAN BIN HARUN,56,male,bumiputera,BEBAS (BEBAS),384,0,lost_deposit
Terengganu,P.040 Kemaman,1,AHMAD SHABERY CHEEK,54,male,bumiputera,BARISAN NASIONAL (BN),45525,1,won
Terengganu,P.040 Kemaman,2,KAMARUDIN CHIK,48,male,bumiputera,PARTI KEADILAN RAKYAT (PKR),33219,0,lost
Pulau Pinang,P.041 Kepala Batas,1,REEZAL MERICAN B NAINA MERICAN,40,male,bumiputera,BARISAN NASIONAL (BN),25128,1,won
Pulau Pinang,P.041 Kepala Batas,2,AFNAN HAMIMI B. TAIB AZAMUDDEN,31,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),20952,0,lost
Pulau Pinang,P.042 Tasek Gelugor,1,MOHD SHARIFF BIN OMAR,65,male,bumiputera,BEBAS (BEBAS),1590,0,lost_deposit
Pulau Pinang,P.042 Tasek Gelugor,2,SHABUDIN YAHAYA,47,male,bumiputera,BARISAN NASIONAL (BN),24393,1,won
Pulau Pinang,P.042 Tasek Gelugor,3,ABDUL RAHMAN MAIDIN,66,male,bumiputera,PARTI ISLAM SE MALAYSIA (PAS),21351,0,lost
Pulau Pinang,P.043 Bagan,1,LIM KIM CHU,50,male,chinese,PARTI CINTA MALAYSIA (PCM),328,0,lost_deposit
