state,parlimen,ballot_order,name,name_display,party,votes,result,result_desc
Johor,P.149 Gading,2,Zanariyah Binti Abdul Hamid,ZANARIYAH,PERIKATAN NASIONAL (PN),18475,0,lost
Johor,P.149 Gading,3,Mohd Lassim Bin Burhan,DATUK LASSIM BURHAN,BARISAN NASIONAL (BN),19242,0,lost
Johor,P.149 Gading,4,Mahdzir Bin Ibrahim,MAHDZIR BIN IBRAHIM,PARTI PEJUANG TANAHAIR (PEJUANG),305,0,lost_deposit
Johor,P.150 Batu Pahat,1,Onn Bin Abu Bakar,ONN BIN ABU BAKAR,PAKATAN HARAPAN (PH),45242,1,won
Johor,P.150 Batu Pahat,2,Zahari Bin Osman @ Othman,ZAHARI BIN OSMAN,PARTI RAKYAT MALAYSIA (PRM),263,0,lost_deposit
Johor,P.150 Batu Pahat,3,Ishak @ Mohd Farid Bin Siraj,ISHAK SIRAJ,BARISAN NASIONAL (BN),24309,0,lost
Johor,P.150 Batu Pahat,4,Nizam Bashir Bin Abdul Kariem Bashir,NIZAM BASHIR,PARTI PEJUANG TANAHAIR (PEJUANG),410,0,lost_deposit
Johor,P.150 Batu Pahat,5,Mohd Rashid Bin Hasnon,DATO' RASHID HASNON,PERIKATAN NASIONAL (PN),29270,0,lost
Johor,P.151 Simpang Renggam,1,Maszlee Bin Malik,DR MASZLEE MALIK,PAKATAN HARAPAN (PH),16491,0,lost
Johor,P.151 Simpang Renggam,2,Kamal Bin Kusmin,KAMAL,PARTI PEJUANG TANAHAIR (PEJUANG),251,0,lost_deposit
Johor,P.151 Simpang Renggam,3,Mohd Fazrul Bin Kamat,FAZRUL KAMAT,PERIKATAN NASIONAL (PN),9077,0,lost
Johor,P.151 Simpang Renggam,4,Hasni Bin Mohammad,HASNI BIN MOHAMMAD,BARISAN NASIONAL (BN),18312,1,won
Johor,P.152 Kluang,1,Gan Ping Shou @ Gan Ping Sieu,GAN PING SIEU,BARISAN NASIONAL (BN),23395,0,lost
Johor,P.152 Kluang,2,Wong Shu Qi,WONG SHU QI,PAKATAN HARAPAN (PH),49801,1,won
Johor,P.152 Kluang,3,Ramendran A/L Ulaganathan,IR. U. RAMENDRAN,BEBAS (BEBAS),404,0,lost_deposit
Johor,P.152 Kluang,4,Dzulkarnain Bin Alias,DZULKARNAIN BIN ALIAS,PERIKATAN NASIONAL (PN),22021,0,lost
Johor,P.153 Sembrong,1,Hishammuddin Bin Datuk Hussein,HISHAMMUDDIN HUSSEIN,BARISAN NASIONAL (BN),22572,1,won
Johor,P.153 Sembrong,2,Hasni Bin Abas,HASNI ABAS,PAKATAN HARAPAN (PH),11692,0,lost
Johor,P.153 Sembrong,3,Aziz Bin Ismail,JOE AZIZ,PERIKATAN NASIONAL (PN),6666,0,lost
Johor,P.154 Mersing,1,Fatin Zulaikha Binti Zaidi,ZULAIKHA ZAIDI,PAKATAN HARAPAN (PH),6813,0,lost
Johor,P.154 Mersing,2,Ismail Bin Don,ISMAIL BIN DON,BEBAS (BEBAS),89,0,lost_deposit
Johor,P.154 Mersing,3,Muhammad Islahuddin Bin Abas,ISLAHUDDIN ABAS,PERIKATAN NASIONAL (PN),21066,1,won
Johor,P.154 Mersing,4,Nurfatimah Binti Ibrahim,NURFATIMAH IBRAHIM,PARTI PEJUANG TANAHAIR (PEJUANG),209,0,lost_deposit
Johor,P.154 Mersing,5,Abd Latif Bin Bandi @ Nor Sebandi,ABD LATIF BANDI,BARISAN NASIONAL (BN),18729,0,lost
Johor,P.155 Tenggara,1,Manndzri Bin Nasib,MANNDZRI BIN NASIB,BARISAN NASIONAL (BN),21185,1,won
Johor,P.155 Tenggara,2,M Azhar Bin Palal,AZHAR PALAL,PARTI PEJUANG TANAHAIR (PEJUANG),353,0,lost_deposit
Johor,P.155 Tenggara,3,Mohd Nazari Bin Mokhtar,KOLONEL NAZARI,PERIKATAN NASIONAL (PN),18194,0,lost
Johor,P.155 Tenggara,4,Zuraidah Zainab Binti Mohd Zain,ZURAIDAH CHEDAH,PAKATAN HARAPAN (PH),11618,0,lost
Johor,P.156 Kota Tinggi,1,Mohamed Khaled Bin Nordin,KHALED NORDIN,BARISAN NASIONAL (BN),25410,1,won
Johor,P.156 Kota Tinggi,2,Mohamad Ridhwan Bin Rasman,RIDHWAN RASMAN,PERIKATAN NASIONAL (PN),17020,0,lost
Johor,P.156 Kota Tinggi,3,Onn Bin Jaafar,ONN JAAFAR,PAKATAN HARAPAN (PH),4903,0,lost_deposit
Johor,P.157 Pengerang,1,Fairulnizar Bin Rahmat,CIKGU IMAM NIZAR,PERIKATAN NASIONAL (PN),16728,0,lost
Johor,P.157 Pengerang,2,Azalina Binti Othman,AZALINA OTHMAN SAID,BARISAN NASIONAL (BN),21738,1,won
Johor,P.157 Pengerang,3,Che Zakaria Bin Mohd Salleh,CHE ZAKARIA BIN MOHD SALLEH,PAKATAN HARAPAN (PH),3374,0,lost_deposit
Johor,P.158 Tebrau,1,Jimmy Puah Wee Tse,JIMMY PUAH WEE TSE,PAKATAN HARAPAN (PH),83959,1,won
Johor,P.158 Tebrau,2,Mohamad Isa Bin Mohamad Basir,MOHAMAD ISA BIN MOHAMAD BASIR,PERIKATAN NASIONAL (PN),53239,0,lost
Johor,P.158 Tebrau,3,Wong Siaw Ting,NICOLE WONG,BARISAN NASIONAL (BN),30767,0,lost
Johor,P.159 Pasir Gudang,1,Noor Azleen Bin Ambros,NOOR AZLEEN AMBROS,BARISAN NASIONAL (BN),37369,0,lost
Johor,P.159 Pasir Gudang,2,Hassan Bin Abdul Karim,HASSAN ABDUL KARIM,PAKATAN HARAPAN (PH),71233,1,won
Johor,P.159 Pasir Gudang,3,Mohamad Farid Bin Abdul Razak,MOHAMAD FARID BIN ABDUL RAZAK,PERIKATAN NASIONAL (PN),39675,0,lost
Johor,P.159 Pasir Gudang,4,Mohammad Raffi Bin Beran,MOHAMMAD RAFFI BERAN,PARTI PEJUANG TANAHAIR (PEJUANG),1003,0,lost_deposit
Johor,P.160 Johor Bahru,1,Johan Arifin Bin Mohd Ropi,JOHAN ROPI,BARISAN NASIONAL (BN),27211,0,lost
Johor,P.160 Johor Bahru,2,Mohd Mohtaj Bin Yacob,MOHTAJ,PERIKATAN NASIONAL (PN),22075,0,lost
Johor,P.160 Johor Bahru,3,Mohamad Akhiri Bin Mahmood,HAIRY MAHMOOD,PARTI PEJUANG TANAHAIR (PEJUANG),1855,0,lost_deposit
Johor,P.160 Johor Bahru,4,Akmal Nasrullah Bin Mohd Nasir,AKMAL NASIR,PAKATAN HARAPAN (PH),43252,1,won
Johor,P.161 Pulai,1,Nur Jazlan Bin Mohamed,NUR JAZLAN,BARISAN NASIONAL (BN),31726,0,lost
Johor,P.161 Pulai,2,Loh Kah Yong,LOH KAH YONG,PERIKATAN NASIONAL (PN),20677,0,lost
Johor,P.161 Pulai,3,Salahuddin Bin Ayub,DATUK SERI SALAHUDDIN AYUB,PAKATAN HARAPAN (PH),64900,1,won
Johor,P.162 Iskandar Puteri,1,Tan Nam Cha,JASHEN TAN,PERIKATAN NASIONAL (PN),30078,0,lost
Johor,P.162 Iskandar Puteri,2,Teoh Sew Hock,DATUK JASON TEOH,BARISAN NASIONAL (BN),36783,0,lost
Johor,P.162 Iskandar Puteri,3,Liew Chin Tong,LIEW CHIN TONG,PAKATAN HARAPAN (PH),96819,1,won
Johor,P.163 Kulai,1,Chua Jian Boon,CHUA JIAN BOON,BARISAN NASIONAL (BN),29506,0,lost
Johor,P.163 Kulai,2,Teo Nie Ching,TEO NIE CHING,PAKATAN HARAPAN (PH),65529,1,won
Johor,P.163 Kulai,3,Tan Chin Hock,DATO' TAN,PERIKATAN NASIONAL (PN),20218,0,lost
Johor,P.164 Pontian,1,Isa Bin Ab Hamid,CIKGU ISA BIN AB HAMID,PERIKATAN NASIONAL (PN),17443,0,lost
Johor,P.164 Pontian,2,Ahmad Bin Maslan,DATUK SERI AHMAD MASLAN,BARISAN NASIONAL (BN),23201,1,won
Johor,P.164 Pontian,3,Shazwan Bin Zdainal Abidin,SHAZWAN ZDAINAL,PAKATAN HARAPAN (PH),15901,0,lost
Johor,P.164 Pontian,4,Jamaluddin Bin Mohamad,JAMALUDDIN MOHAMAD,PARTI PEJUANG TANAHAIR (PEJUANG),306,0,lost_deposit
Johor,P.165 Tanjung Piai,1,Najwah Halimah Binti Ab Alim,NAJWAH HALIMAH,PERIKATAN NASIONAL (PN),13762,0,lost
Johor,P.165 Tanjung Piai,2,Wee Jeck Seng,WEE JECK SENG,BARISAN NASIONAL (BN),23593,1,won
Johor,P.165 Tanjung Piai,3,Lim Wei Jiet,LIM WEI JIET,IKATAN DEMOKRATIK MALAYSIA (MUDA),17233,0,lost
W.P. Labuan,P.166 Labuan,1,Ramle Bin Mat Daly,RAMLE,PARTI PEJUANG TANAHAIR (PEJUANG),90,0,lost_deposit
W.P. Labuan,P.166 Labuan,2,Suhaili Bin Abdul Rahman,DATO' DR. SUHAILI ABDUL RAHMAN,PERIKATAN NASIONAL (PN),8124,1,won
W.P. Labuan,P.166 Labuan,3,Bashir Bin Alias,BASHIR BIN ALIAS,BARISAN NASIONAL (BN),7416,0,lost
W.P. Labuan,P.166 Labuan,4,Ramli Bin Tahir,DATUK WIRA DR RAMLI,PAKATAN HARAPAN (PH),5307,0,lost
W.P. Labuan,P.166 Labuan,5,Rozman Bin Isli,DATUK ROZMAN ISLI,PARTI WARISAN SABAH (WARISAN),7310,0,lost
W.P. Labuan,P.166 Labuan,6,Dayang Rusimah @ Raynie Bt Mohd. Din,DAYANG RUSIMAH @ RAYNIE BINTI DATUK HJ. MOHD. DIN,PARTI BANGSA MALAYSIA (PBM),202,0,lost_deposit
Sabah,P.167 Kudat,1,Ruddy Bin Awah,RUDDY BIN AWAH,PARTI GABUNGAN RAKYAT SABAH (GRS),14356,0,lost
Sabah,P.167 Kudat,2,Nur Alya Humaira Binti Usun Abdullah,PETRONELLA USUN,PARTI PEJUANG TANAHAIR (PEJUANG),282,0,lost_deposit
Sabah,P.167 Kudat,3,Rashid Bin Abdul Harun,RASHID BIN ABDUL HARUN,PARTI WARISAN SABAH (WARISAN),9421,0,lost
Sabah,P.167 Kudat,4,Verdon Bin Bahanda,VERDON BIN BAHANDA,BEBAS (BEBAS),16323,1,won
Sabah,P.167 Kudat,5,Thonny Chee,THONNY CHEE,PAKATAN HARAPAN (PH),4726,0,lost_deposit
Sabah,P.168 Kota Marudu,1,Mohd Azmi Bin Hj Zulkiflee,MOHD AZMI BIN HJ ZULKIFLEE,PARTI PEJUANG TANAHAIR (PEJUANG),279,0,lost_deposit
Sabah,P.168 Kota Marudu,2,Shahrizal Bin Denci,SHAHRIZAL DENCI,IKATAN DEMOKRATIK MALAYSIA (MUDA),3225,0,lost_deposit
Sabah,P.168 Kota Marudu,3,Norman Bin Tulang,NORMAN BIN TULANG (TAS),BEBAS (BEBAS),660,0,lost_deposit
Sabah,P.168 Kota Marudu,4,Jilid @ Zainuddin Bin Kuminding,JILID @ ZAINUDDIN BIN KUMINDING,PARTI WARISAN SABAH (WARISAN),5320,0,lost_deposit
Sabah,P.168 Kota Marudu,5,Johnity @ Maximus Bin Ongkili,DR.MAXIMUS@JOHNITY ONGKILI,PARTI GABUNGAN RAKYAT SABAH (GRS),16144,0,lost
Sabah,P.168 Kota Marudu,6,Wetrom Bin Bahanda, DATUK WETROM BAHANDA,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),24318,1,won
Sabah,P.169 Kota Belud,1,Madeli @ Modily Bin Bangali,MADELI @ MODILY BIN BANGALI,PAKATAN HARAPAN (PH),8323,0,lost
Sabah,P.169 Kota Belud,2,Abd Rahman Bin Dahlan,DATUK SERI PANGLIMA ABD RAHMAN BIN DAHLAN.,BARISAN NASIONAL (BN),20566,0,lost
Sabah,P.169 Kota Belud,3,Isnaraissah Munirah Bt Majilis@Fakharudy,MUNIRAH MAJILIS,PARTI WARISAN SABAH (WARISAN),25148,1,won
Sabah,P.170 Tuaran,1,Madius Bin Tangau,MADIUS TANGAU,PAKATAN HARAPAN (PH),24943,1,won
Sabah,P.170 Tuaran,2,Boby Bin Lewat,BOBY BIN LEWAT,BEBAS (BEBAS),393,0,lost_deposit
Sabah,P.170 Tuaran,3,Noortaip Bin Suhaili @ Sualee,NOORTAIP BIN SUHAILI @ SUALEE,BEBAS (BEBAS),2008,0,lost_deposit
Sabah,P.170 Tuaran,4,Jo-Anna Sue Henley Rampas,JO-ANNA SUE HENLEY RAMPAS,PARTI WARISAN SABAH (WARISAN),5728,0,lost_deposit
Sabah,P.170 Tuaran,5,Muminin Kalingkong @ Norbinsha,MUMININ B. NORBINSHA,PARTI PEJUANG TANAHAIR (PEJUANG),445,0,lost_deposit
Sabah,P.170 Tuaran,6,Joniston Bin Lumai @ Bangkuai,JONISTON BANGKUAI,PARTI GABUNGAN RAKYAT SABAH (GRS),24710,0,lost
Sabah,P.171 Sepanggar,1,Mohd. Azis Bin Jamman,MOHD AZIS JAMMAN,PARTI WARISAN SABAH (WARISAN),18594,0,lost
Sabah,P.171 Sepanggar,2,Yakubah Khan,YAKUB KHAN,BARISAN NASIONAL (BN),19980,0,lost
Sabah,P.171 Sepanggar,3,Yusof Bin Kunchang,YUSOF BIN KUNCHANG,PARTI PEJUANG TANAHAIR (PEJUANG),731,0,lost_deposit
Sabah,P.171 Sepanggar,4,Mustapha @ Mohd Yunus Bin Sakmud,MUSTAPHA SAKMUD,PAKATAN HARAPAN (PH),27022,1,won
Sabah,P.171 Sepanggar,5,Jumardie Bin Lukman,JUMARDIE LUKMAN,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),3977,0,lost_deposit
Sabah,P.172 Kota Kinabalu,1,Yeo Yan Yin,YEO YAN YIN @ AMANDA,PARTI WARISAN SABAH (WARISAN),7576,0,lost
Sabah,P.172 Kota Kinabalu,2,Marcel Jude A/L Ms Joseph,MARCEL JUDE,BEBAS (BEBAS),137,0,lost_deposit
Sabah,P.172 Kota Kinabalu,3,Liaw Kit Siong,WINSTON LIAW KIT SIONG,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),456,0,lost_deposit
Sabah,P.172 Kota Kinabalu,4,Chan Foong Hin,CHAN FOONG HIN,PAKATAN HARAPAN (PH),31359,1,won
Sabah,P.172 Kota Kinabalu,5,Yee Tsai Yiew,YEE TSAI YIEW,PARTI GABUNGAN RAKYAT SABAH (GRS),4592,0,lost_deposit
Sabah,P.173 Putatan,1,Awang Husaini Bin Sahari,AWANG HUSAINI BIN SAHARI,PAKATAN HARAPAN (PH),16110,0,lost
Sabah,P.173 Putatan,2,Shahelmey Bin Yahya,SHAHELMEY BIN YAHYA,BARISAN NASIONAL (BN),16234,1,won
Sabah,P.173 Putatan,3,Poyne B. Tudus @ Patrick Payne,POYNE B. TUDUS @ PATRICK PAYNE,PARTI PEJUANG TANAHAIR (PEJUANG),394,0,lost_deposit
Sabah,P.173 Putatan,4,Ahmad Bin Mohd Said,AHMAD BIN MOHD SAID,PARTI WARISAN SABAH (WARISAN),8511,0,lost
Sabah,P.174 Penampang,1,Ewon Benedick,EWON BENEDICK,PAKATAN HARAPAN (PH),29066,1,won
Sabah,P.174 Penampang,2,Richard Jimmy,RICHARD JIMMY,BEBAS (BEBAS),289,0,lost_deposit
Sabah,P.174 Penampang,3,Kenny Chua Teck Ho,KENNY CHUA TECK HO,PARTI GABUNGAN RAKYAT SABAH (GRS),6719,0,lost
Sabah,P.174 Penampang,4,Ignatius Dorell Leiking,DARELL LEIKING,PARTI WARISAN SABAH (WARISAN),14656,0,lost
Sabah,P.175 Papar,1,Nicholas Sylvester @ Berry,NICHOLAS SYLVESTER @ BERRY,PARTI PEJUANG TANAHAIR (PEJUANG),783,0,lost_deposit
Sabah,P.175 Papar,2,Chin Chuan Siong @ Norbert Chin,NORBERT CHIN,BEBAS (BEBAS),231,0,lost_deposit
Sabah,P.175 Papar,3,Henry Shim Chee On,HENRY SHIM,PAKATAN HARAPAN (PH),9144,0,lost
Sabah,P.175 Papar,4,Johnny Bin Sitamin,JOHNNY SITAMIN,BEBAS (BEBAS),335,0,lost_deposit
Sabah,P.175 Papar,5,Ahmad Bin Hassan,HJ. AHMAD HASSAN,PARTI WARISAN SABAH (WARISAN),10396,0,lost
Sabah,P.175 Papar,6,Armizan Bin Mohd Ali,DATUK ARMIZAN BIN MOHD ALI,PARTI GABUNGAN RAKYAT SABAH (GRS),22620,1,won
Sabah,P.176 Kimanis,1,Mohamad Bin Alamin,MOHAMAD BIN ALAMIN,BARISAN NASIONAL (BN),13004,1,won
Sabah,P.176 Kimanis,2,Daud Bin Yusof,DAUD BIN YUSOF,PARTI WARISAN SABAH (WARISAN),9967,0,lost
Sabah,P.176 Kimanis,3,Yusop Bin Osman @ Othman,YUSOP BIN OSMAN,PARTI PEJUANG TANAHAIR (PEJUANG),153,0,lost_deposit
Sabah,P.176 Kimanis,4,Rowindy Lawrence Odong,ROWINDY LAWRENCE ODONG,PAKATAN HARAPAN (PH),3931,0,lost
Sabah,P.176 Kimanis,5,Amat Bin Md Yusof,AMAT BIN MD YUSOF,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),4013,0,lost
Sabah,P.177 Beaufort,1,Dikin Bin Musah,DIKIN BIN MUSAH,PAKATAN HARAPAN (PH),7835,0,lost
Sabah,P.177 Beaufort,2,Matlani Bin Sabli,MATLANI BIN SABLI,BEBAS (BEBAS),143,0,lost_deposit
Sabah,P.177 Beaufort,3,Johan @ Christopher Bin O T Ghani,JOHAN @ CHRISTOPHER BIN O T GHANI,BEBAS (BEBAS),546,0,lost_deposit
Sabah,P.177 Beaufort,4,Masri Bin Adul,MASRI BIN ADUL,PARTI WARISAN SABAH (WARISAN),2152,0,lost_deposit
Sabah,P.177 Beaufort,5,Siti Aminah Binti Aching,DATUK SITI AMINAH BINTI ACHING,BARISAN NASIONAL (BN),10570,1,won
Sabah,P.177 Beaufort,6,Johair Binti Mat Lani,DATUK HJH.JOHAIR MAT LANI,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),8052,0,lost
Sabah,P.178 Sipitang,1,Matbali Bin Musah,DATUK MATBALI BIN MUSAH,PARTI GABUNGAN RAKYAT SABAH (GRS),14459,1,won
Sabah,P.178 Sipitang,2,Lahirul Bin Latigu,LAHIRUL,PAKATAN HARAPAN (PH),4834,0,lost
Sabah,P.178 Sipitang,3,Adnan Bin Puteh,ADNAN BIN OKK PUTEH,PARTI WARISAN SABAH (WARISAN),9768,0,lost
Sabah,P.179 Ranau,1,Apirin Bin Jahalan @ Taufik Sham,TAUFIK DAHLAN,PAKATAN HARAPAN (PH),11514,0,lost
Sabah,P.179 Ranau,2,Jonathan Bin Yasin,JONATHAN YASIN,PARTI GABUNGAN RAKYAT SABAH (GRS),22606,1,won
Sabah,P.179 Ranau,3,Azizul Julirin,AZIZUL JULIRIN,PARTI PEJUANG TANAHAIR (PEJUANG),1267,0,lost_deposit
Sabah,P.179 Ranau,4,Markos Siton,MARKOS SITON,PARTI WARISAN SABAH (WARISAN),2657,0,lost_deposit
Sabah,P.179 Ranau,5,Ewon Bin Ebin,EWON BIN EBIN,PARTI BERSATU RAKYAT SABAH (PBRS),4254,0,lost_deposit
Sabah,P.180 Keningau,1,Grelydia Gillod,GRELYDIA GILLOD,PAKATAN HARAPAN (PH),15099,0,lost
Sabah,P.180 Keningau,2,Rasinin Bin Koutis @ Kautis,RASININ BIN KOUTIS @ KAUTIS,PARTI WARISAN SABAH (WARISAN),7020,0,lost
Sabah,P.180 Keningau,3,Gapari Bin Katingan @ Geoffrey Kitingan,DATUK SERI PANGLIMA DR.JEFFREY G.KITINGAN,PARTI GABUNGAN RAKYAT SABAH (GRS),23155,1,won
Sabah,P.180 Keningau,4,Jikulin Nointin @ Anastasius,DATUK JAKE NOINTIN,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),9598,0,lost
Sabah,P.181 Tenom,1,Noorita Binti Sual,NOORITA SUAL,PAKATAN HARAPAN (PH),8919,0,lost
Sabah,P.181 Tenom,2,Jamawi Bin Ja'Afar,JAMAWI BIN JA'AFAR,BARISAN NASIONAL (BN),8625,0,lost
Sabah,P.181 Tenom,3,Riduan Bin Rubin,RIDUAN BIN RUBIN,BEBAS (BEBAS),10027,1,won
Sabah,P.181 Tenom,4,Ukim Bin Buandi,UKIM BUANDI,PARTI WARISAN SABAH (WARISAN),992,0,lost_deposit
Sabah,P.181 Tenom,5,Peggy Chaw Zhi Ting,PEGGY CHAW ZHI TING,BEBAS (BEBAS),86,0,lost_deposit
Sabah,P.182 Pensiangan,1,Jamani Bin Derimin @ Gampalid,JAMANI BIN DERIMIN,PARTI PEJUANG TANAHAIR (PEJUANG),124,0,lost_deposit
Sabah,P.182 Pensiangan,2,Siti Noorhasmahwatty Binti Osman,SITI NOORHASMAHWATTY OSMAN,PARTI WARISAN SABAH (WARISAN),1512,0,lost_deposit
Sabah,P.182 Pensiangan,3,Jekerison Bin Kilan @ Kilam,JEKERISON KILAN,PARTI KESEJAHTERAAN DEMOKRATIK MASYARAKAT (KDM),1640,0,lost_deposit
Sabah,P.182 Pensiangan,4,Sangkar Bin Rasam,SANGKAR BIN RASAM,PAKATAN HARAPAN (PH),14211,0,lost
Sabah,P.182 Pensiangan,5,Arthur Joseph Kurup,DATUK ARTHUR JOSEPH KURUP,BARISAN NASIONAL (BN),19623,1,won
Sabah,P.183 Beluran,1,Benedict Asmat @ Kolorong,BENEDICT ASMAT,BARISAN NASIONAL (BN),9709,0,lost
Sabah,P.183 Beluran,2,Rowiena Binti Rasid,ROWIENA RASID,PARTI WARISAN SABAH (WARISAN),3707,0,lost
Sabah,P.183 Beluran,3,Hausing Bin Samsudin @ Sudin,HAUSING BIN SAMSUDIN @ SUDIN,PARTI PEJUANG TANAHAIR (PEJUANG),155,0,lost_deposit
Sabah,P.183 Beluran,4,Ronald Kiandee,RONALD KIANDEE,PERIKATAN NASIONAL (PN),11303,1,won
Sabah,P.183 Beluran,5,Felix Joseph Sitin,FELIX JOSEPH SAANG,PAKATAN HARAPAN (PH),4460,0,lost
Sabah,P.184 Libaran,1,Nordin Bin Kaning @ Nordin Bin Khani,NORDIN BIN KHANI,PARTI PERPADUAN RAKYAT SABAH (PPRS),541,0,lost_deposit
Sabah,P.184 Libaran,2,Peter Jr Naintin,DR PETER JR NAINTIN,PAKATAN HARAPAN (PH),10351,0,lost
Sabah,P.184 Libaran,3,Amdan @ Saban Bin Tumpong,HJ. AMDAN BIN TUMPONG,BEBAS (BEBAS),659,0,lost_deposit
Sabah,P.184 Libaran,4,Jeffri Bin Pudang,JEFFRI @ AMAT PUDANG,PARTI PEJUANG TANAHAIR (PEJUANG),826,0,lost_deposit
Sabah,P.184 Libaran,5,Sh Bokrata Bin Sh Hassan,SHARIF BOKRATA,PARTI WARISAN SABAH (WARISAN),9185,0,lost
Sabah,P.184 Libaran,6,Suhaimi Bin Nasir,SUHAIMI BIN NASIR,BARISAN NASIONAL (BN),22969,1,won
Sabah,P.185 Batu Sapi,1,Liau Fui Fui,LIAU FUI FUI,PAKATAN HARAPAN (PH),7331,0,lost
Sabah,P.185 Batu Sapi,2,Othman Bin Ahmad,IR. HJ. OTHMAN HJ. AHMAD,BEBAS (BEBAS),160,0,lost_deposit
Sabah,P.185 Batu Sapi,3,Narseso P Juanico,BONI YUSUF JUANICO ABDULLAH,PARTI PEJUANG TANAHAIR (PEJUANG),176,0,lost_deposit
Sabah,P.185 Batu Sapi,4,Alias Bin Sani,ALIAS BIN SANI,PARTI WARISAN SABAH (WARISAN),7218,0,lost
Sabah,P.185 Batu Sapi,5,Khairul Firdaus Bin Akbar Khan,KHAIRUL FIRDAUS AKBAR KHAN,PARTI GABUNGAN RAKYAT SABAH (GRS),12152,1,won
Sabah,P.186 Sandakan,1,Hu Chang Lik @ Hii Chang Lik,PETER HII,BEBAS (BEBAS),2342,0,lost_deposit
Sabah,P.186 Sandakan,2,Lokeman Hazli Bin Azali,SYEIKH LOKEMAN,BEBAS (BEBAS),962,0,lost_deposit
Sabah,P.186 Sandakan,3,Lau Chi Keong @ Thomas Lau,LAU CHI KEONG @ THOMAS LAU,PARTI GABUNGAN RAKYAT SABAH (GRS),5054,0,lost
Sabah,P.186 Sandakan,4,Vivian Wong Shir Yee,VIVIAN WONG SHIR YEE,PAKATAN HARAPAN (PH),16673,1,won
Sabah,P.186 Sandakan,5,Thien Ching Qiang,ALEX THIEN,PARTI WARISAN SABAH (WARISAN),5642,0,lost
Sabah,P.186 Sandakan,6,Lita Tan Binti Abdullah,HAJJAH LITA TAN BINTI ABDULLAH,BEBAS (BEBAS),246,0,lost_deposit
Sabah,P.187 Kinabatangan,1,Mazliwati Binti Abdul Malek,MAZLIWATI BINTI ABDUL MALEK,PARTI WARISAN SABAH (WARISAN),12512,0,lost
Sabah,P.187 Kinabatangan,2,Moktar Bin Radin,BUNG MOKTAR BIN RADIN,BARISAN NASIONAL (BN),16842,1,won
Sabah,P.188 Lahad Datu,1,Sia Yu Hock,SIA YU HOCK,PAKATAN HARAPAN (PH),8289,0,lost
Sabah,P.188 Lahad Datu,2,Mohammad Yusof Bin Bin Apdal,DATO' HJ MOHAMMAD YUSOF BIN APDAL,PARTI WARISAN SABAH (WARISAN),27116,1,won
Sabah,P.188 Lahad Datu,3,Maizatul Akmam Bt. Hj.Alawi @ Ad.Badawi,MAIZATUL AKMAM BT HJ ALAWI,BARISAN NASIONAL (BN),22740,0,lost
Sabah,P.189 Semporna,1,Arastam Bin Pandorog,ARASTAM BIN PANDOROG,PAKATAN HARAPAN (PH),1848,0,lost_deposit
Sabah,P.189 Semporna,2,Mohd Shafie Bin Apdal,MOHD SHAFIE APDAL,PARTI WARISAN SABAH (WARISAN),28702,1,won
Sabah,P.189 Semporna,3,Nixon Bin Abdul Habi,NIXON BIN ABDUL HABI,PARTI GABUNGAN RAKYAT SABAH (GRS),7892,0,lost
Sabah,P.189 Semporna,4,Ab Rajik @ Ab Rajak Bin Ab Hamid,AB RAJIK AB HAMID,PARTI PEJUANG TANAHAIR (PEJUANG),467,0,lost_deposit
Sabah,P.190 Tawau,1,Chen Ket Chuin,KC CHEN KET CHUIN,PARTI WARISAN SABAH (WARISAN),11263,0,lost
Sabah,P.190 Tawau,2,Chin Chee Syn,DATO' CHIN CHEE SYN,BEBAS (BEBAS),651,0,lost_deposit
Sabah,P.190 Tawau,3,Mohd Salleh Bin Bacho,MOHD SALLEH BACHO,BEBAS (BEBAS),1776,0,lost_deposit
Sabah,P.190 Tawau,4,Liew Chin Jin,CHRISTINA LIEW,PAKATAN HARAPAN (PH),16065,0,lost
Sabah,P.190 Tawau,5,Herman Bin Amdas,HERMAN BIN AMDAS,PARTI PEJUANG TANAHAIR (PEJUANG),1067,0,lost_deposit
Sabah,P.190 Tawau,6,Lo Su Fui,LO SU FUI,PARTI GABUNGAN RAKYAT SABAH (GRS),19865,1,won
Sabah,P.191 Kalabakan,1,Nur Aini Binti Abdul Rahman,DR NUR AINI ABD RAHMAN (MD),PARTI PEJUANG TANAHAIR (PEJUANG),1681,0,lost_deposit
Sabah,P.191 Kalabakan,2,Andi Muhammad Suryady Bin Bandy,ANDI MUHAMMAD SURYADY BIN BANDY,BARISAN NASIONAL (BN),23855,1,won
Sabah,P.191 Kalabakan,3,Ma'Mun Bin Sulaiman,MA'MUN BIN SULAIMAN,PARTI WARISAN SABAH (WARISAN),14755,0,lost
Sabah,P.191 Kalabakan,4,Muhamad Dhiauddin Bin Hassan,DATO MUHAMAD,BEBAS (BEBAS),341,0,lost_deposit
