state,parlimen,undi_keluar_peti,undi_dalam_peti,undi_tak_kembali,undi_tolak,majoriti,peratus_keluar,undi_rosak,pengundi_jumlah,pengundi_tidak_hadir,rosak_vs_keseluruhan,rosak_vs_majoriti,tidakhadir_vs_majoriti
Perlis,P.001 Padang Besar,37432,37280,152,780,1438,81.19999695,932,46098,8666,2.4898482581748236,64.81223922114047,602.6425591098748
Perlis,P.002 Kangar,45703,45486,217,806,5603,81.69999695,1023,55940,10237,2.23836509638317,18.25807603069784,182.7056933785472
Perlis,P.003 Arau,40433,40290,143,690,4856,83.90000153,833,48191,7758,2.060198352830609,17.154036243822077,159.76112026359144
Kedah,P.004 Langkawi,35250,35131,119,604,8893,82.5999984741211,723,42675,7425,2.051063829787234,8.129989879680648,83.49263465647138
Kedah,P.005 Jerlun,44822,44660,162,723,5866,82.8000030517578,885,54132,9310,1.9744768194190354,15.086941697920217,158.71121718377088
Kedah,P.006 Kubang Pasu,61452,61104,348,770,13009,83.1999969482422,1118,73860,12408,1.8193061251057736,8.594050272888,95.38012145437774
Kedah,P.007 Padang Terap,39932,39777,155,854,1099,85.5999984741211,1009,46649,6717,2.5267955524391468,91.81073703366697,611.1919927206551
Kedah,P.008 Pokok Sena,71910,71619,291,869,5558,82.8000030517578,1160,86847,14937,1.6131275205117506,20.87081684059014,268.7477509895646
Kedah,P.009 Alor Setar,65096,64812,284,881,15200,81.0999984741211,1165,80266,15170,1.7896644955143173,7.6644736842105265,99.80263157894737
Kedah,P.010 Kuala Kedah,80555,80278,277,1111,13481,82.4000015258789,1388,97760,17205,1.7230463658370059,10.295972108893999,127.62406349677325
Kedah,P.011 Pendang,63371,63198,173,952,5808,84.5999984741211,1125,74906,11535,1.7752599769610706,19.369834710743802,198.60537190082647
Kedah,P.012 Jerai,66920,66748,172,1012,539,83.6999969482422,1184,79952,13032,1.7692767483562462,219.66604823747682,2417.8107606679037
Kedah,P.013 Sik,42772,42657,115,729,5218,84.9000015258789,844,50379,7607,1.973253530346956,16.17477960904561,145.78382522039095
Kedah,P.014 Merbok,72708,72458,250,1108,10072,82.8000030517578,1358,87811,15103,1.8677449524123892,13.482922954725973,149.950357426529
